Province,省份_规范,年份,人群类别,人口原始值,人口单位,人口数_人,是否长表结构,人口匹配方式,人口匹配置信度,是否建议人工复核,复核原因
Jiangsu,江苏,2022,总人口/未分层,8515,万人（根据中国省级人口量级推断）,85150000,True,原始省份-年份记录,高,False,
Zhejiang,浙江,2022,总人口/未分层,6577,万人（根据中国省级人口量级推断）,65770000,True,原始省份-年份记录,高,False,
Anhui,安徽,2022,总人口/未分层,6127,万人（根据中国省级人口量级推断）,61270000,True,原始省份-年份记录,高,False,
Fujian,福建,2022,总人口/未分层,4188,万人（根据中国省级人口量级推断）,41880000,True,原始省份-年份记录,高,False,
Jiangxi,江西,2022,总人口/未分层,4528,万人（根据中国省级人口量级推断）,45280000,True,原始省份-年份记录,高,False,
Shandong,山东,2022,总人口/未分层,10163,万人（根据中国省级人口量级推断）,101630000,True,原始省份-年份记录,高,False,
Henan,河南,2022,总人口/未分层,9872,万人（根据中国省级人口量级推断）,98720000,True,原始省份-年份记录,高,False,
Hubei,湖北,2022,总人口/未分层,5844,万人（根据中国省级人口量级推断）,58440000,True,原始省份-年份记录,高,False,
Hunan,湖南,2022,总人口/未分层,6604,万人（根据中国省级人口量级推断）,66040000,True,原始省份-年份记录,高,False,
Guangdong,广东,2022,总人口/未分层,12657,万人（根据中国省级人口量级推断）,126570000,True,原始省份-年份记录,高,False,
Guangxi,广西,2022,总人口/未分层,5047,万人（根据中国省级人口量级推断）,50470000,True,原始省份-年份记录,高,False,
Hainan,海南,2022,总人口/未分层,1027,万人（根据中国省级人口量级推断）,10270000,True,原始省份-年份记录,高,False,
Chongqing,重庆,2022,总人口/未分层,3213,万人（根据中国省级人口量级推断）,32130000,True,原始省份-年份记录,高,False,
Sichuan,四川,2022,总人口/未分层,8374,万人（根据中国省级人口量级推断）,83740000,True,原始省份-年份记录,高,False,
Guizhou,贵州,2022,总人口/未分层,3856,万人（根据中国省级人口量级推断）,38560000,True,原始省份-年份记录,高,False,
Yunnan,云南,2022,总人口/未分层,4693,万人（根据中国省级人口量级推断）,46930000,True,原始省份-年份记录,高,False,
Tibet,西藏,2022,总人口/未分层,364,万人（根据中国省级人口量级推断）,3640000,True,原始省份-年份记录,高,False,
Shaanxi,陕西,2022,总人口/未分层,3956,万人（根据中国省级人口量级推断）,39560000,True,原始省份-年份记录,高,False,
Gansu,甘肃,2022,总人口/未分层,2492,万人（根据中国省级人口量级推断）,24920000,True,原始省份-年份记录,高,False,
Qinghai,青海,2022,总人口/未分层,595,万人（根据中国省级人口量级推断）,5950000,True,原始省份-年份记录,高,False,
Ningxia,宁夏,2022,总人口/未分层,728,万人（根据中国省级人口量级推断）,7280000,True,原始省份-年份记录,高,False,
Xinjiang,新疆,2022,总人口/未分层,2587,万人（根据中国省级人口量级推断）,25870000,True,原始省份-年份记录,高,False,
Beijing,北京,2021,总人口/未分层,2189,万人（根据中国省级人口量级推断）,21890000,True,原始省份-年份记录,高,False,
Tianjin,天津,2021,总人口/未分层,1373,万人（根据中国省级人口量级推断）,13730000,True,原始省份-年份记录,高,False,
Hebei,河北,2021,总人口/未分层,7448,万人（根据中国省级人口量级推断）,74480000,True,原始省份-年份记录,高,False,
Shanxi,山西,2021,总人口/未分层,3480,万人（根据中国省级人口量级推断）,34800000,True,原始省份-年份记录,高,False,
Inner Mongolia,内蒙古,2021,总人口/未分层,2400,万人（根据中国省级人口量级推断）,24000000,True,原始省份-年份记录,高,False,
Liaoning,辽宁,2021,总人口/未分层,4229,万人（根据中国省级人口量级推断）,42290000,True,原始省份-年份记录,高,False,
Jilin,吉林,2021,总人口/未分层,2375,万人（根据中国省级人口量级推断）,23750000,True,原始省份-年份记录,高,False,
Heilongjiang,黑龙江,2021,总人口/未分层,3125,万人（根据中国省级人口量级推断）,31250000,True,原始省份-年份记录,高,False,
Shanghai,上海,2021,总人口/未分层,2489,万人（根据中国省级人口量级推断）,24890000,True,原始省份-年份记录,高,False,
Jiangsu,江苏,2021,总人口/未分层,8505,万人（根据中国省级人口量级推断）,85050000,True,原始省份-年份记录,高,False,
Zhejiang,浙江,2021,总人口/未分层,6540,万人（根据中国省级人口量级推断）,65400000,True,原始省份-年份记录,高,False,
Anhui,安徽,2021,总人口/未分层,6113,万人（根据中国省级人口量级推断）,61130000,True,原始省份-年份记录,高,False,
Fujian,福建,2021,总人口/未分层,4187,万人（根据中国省级人口量级推断）,41870000,True,原始省份-年份记录,高,False,
Jiangxi,江西,2021,总人口/未分层,4517,万人（根据中国省级人口量级推断）,45170000,True,原始省份-年份记录,高,False,
Shandong,山东,2021,总人口/未分层,10170,万人（根据中国省级人口量级推断）,101700000,True,原始省份-年份记录,高,False,
Henan,河南,2021,总人口/未分层,9883,万人（根据中国省级人口量级推断）,98830000,True,原始省份-年份记录,高,False,
Hubei,湖北,2021,总人口/未分层,5830,万人（根据中国省级人口量级推断）,58300000,True,原始省份-年份记录,高,False,
Hunan,湖南,2021,总人口/未分层,6622,万人（根据中国省级人口量级推断）,66220000,True,原始省份-年份记录,高,False,
Guangdong,广东,2021,总人口/未分层,12684,万人（根据中国省级人口量级推断）,126840000,True,原始省份-年份记录,高,False,
Guangxi,广西,2021,总人口/未分层,5037,万人（根据中国省级人口量级推断）,50370000,True,原始省份-年份记录,高,False,
Hainan,海南,2021,总人口/未分层,1020,万人（根据中国省级人口量级推断）,10200000,True,原始省份-年份记录,高,False,
Chongqing,重庆,2021,总人口/未分层,3212,万人（根据中国省级人口量级推断）,32120000,True,原始省份-年份记录,高,False,
Sichuan,四川,2021,总人口/未分层,8372,万人（根据中国省级人口量级推断）,83720000,True,原始省份-年份记录,高,False,
Guizhou,贵州,2021,总人口/未分层,3852,万人（根据中国省级人口量级推断）,38520000,True,原始省份-年份记录,高,False,
Yunnan,云南,2021,总人口/未分层,4690,万人（根据中国省级人口量级推断）,46900000,True,原始省份-年份记录,高,False,
Tibet,西藏,2021,总人口/未分层,366,万人（根据中国省级人口量级推断）,3660000,True,原始省份-年份记录,高,False,
Shaanxi,陕西,2021,总人口/未分层,3954,万人（根据中国省级人口量级推断）,39540000,True,原始省份-年份记录,高,False,
Gansu,甘肃,2021,总人口/未分层,2490,万人（根据中国省级人口量级推断）,24900000,True,原始省份-年份记录,高,False,
Qinghai,青海,2021,总人口/未分层,594,万人（根据中国省级人口量级推断）,5940000,True,原始省份-年份记录,高,False,
Ningxia,宁夏,2021,总人口/未分层,725,万人（根据中国省级人口量级推断）,7250000,True,原始省份-年份记录,高,False,
Xinjiang,新疆,2021,总人口/未分层,2589,万人（根据中国省级人口量级推断）,25890000,True,原始省份-年份记录,高,False,
Beijing,北京,2020,总人口/未分层,2189,万人（根据中国省级人口量级推断）,21890000,True,原始省份-年份记录,高,False,
Tianjin,天津,2020,总人口/未分层,1387,万人（根据中国省级人口量级推断）,13870000,True,原始省份-年份记录,高,False,
Hebei,河北,2020,总人口/未分层,7464,万人（根据中国省级人口量级推断）,74640000,True,原始省份-年份记录,高,False,
Shanxi,山西,2020,总人口/未分层,3490,万人（根据中国省级人口量级推断）,34900000,True,原始省份-年份记录,高,False,
Inner Mongolia,内蒙古,2020,总人口/未分层,2403,万人（根据中国省级人口量级推断）,24030000,True,原始省份-年份记录,高,False,
Liaoning,辽宁,2020,总人口/未分层,4255,万人（根据中国省级人口量级推断）,42550000,True,原始省份-年份记录,高,False,
Jilin,吉林,2020,总人口/未分层,2399,万人（根据中国省级人口量级推断）,23990000,True,原始省份-年份记录,高,False,
Heilongjiang,黑龙江,2020,总人口/未分层,3171,万人（根据中国省级人口量级推断）,31710000,True,原始省份-年份记录,高,False,
Shanghai,上海,2020,总人口/未分层,2488,万人（根据中国省级人口量级推断）,24880000,True,原始省份-年份记录,高,False,
Jiangsu,江苏,2020,总人口/未分层,8477,万人（根据中国省级人口量级推断）,84770000,True,原始省份-年份记录,高,False,
Zhejiang,浙江,2020,总人口/未分层,6468,万人（根据中国省级人口量级推断）,64680000,True,原始省份-年份记录,高,False,
Anhui,安徽,2020,总人口/未分层,6105,万人（根据中国省级人口量级推断）,61050000,True,原始省份-年份记录,高,False,
Fujian,福建,2020,总人口/未分层,4161,万人（根据中国省级人口量级推断）,41610000,True,原始省份-年份记录,高,False,
Jiangxi,江西,2020,总人口/未分层,4519,万人（根据中国省级人口量级推断）,45190000,True,原始省份-年份记录,高,False,
Shandong,山东,2020,总人口/未分层,10165,万人（根据中国省级人口量级推断）,101650000,True,原始省份-年份记录,高,False,
Henan,河南,2020,总人口/未分层,9941,万人（根据中国省级人口量级推断）,99410000,True,原始省份-年份记录,高,False,
Hubei,湖北,2020,总人口/未分层,5745,万人（根据中国省级人口量级推断）,57450000,True,原始省份-年份记录,高,False,
Hunan,湖南,2020,总人口/未分层,6645,万人（根据中国省级人口量级推断）,66450000,True,原始省份-年份记录,高,False,
Guangdong,广东,2020,总人口/未分层,12624,万人（根据中国省级人口量级推断）,126240000,True,原始省份-年份记录,高,False,
Guangxi,广西,2020,总人口/未分层,5019,万人（根据中国省级人口量级推断）,50190000,True,原始省份-年份记录,高,False,
Hainan,海南,2020,总人口/未分层,1012,万人（根据中国省级人口量级推断）,10120000,True,原始省份-年份记录,高,False,
Chongqing,重庆,2020,总人口/未分层,3209,万人（根据中国省级人口量级推断）,32090000,True,原始省份-年份记录,高,False,
Sichuan,四川,2020,总人口/未分层,8371,万人（根据中国省级人口量级推断）,83710000,True,原始省份-年份记录,高,False,
Guizhou,贵州,2020,总人口/未分层,3858,万人（根据中国省级人口量级推断）,38580000,True,原始省份-年份记录,高,False,
Yunnan,云南,2020,总人口/未分层,4722,万人（根据中国省级人口量级推断）,47220000,True,原始省份-年份记录,高,False,
Tibet,西藏,2020,总人口/未分层,366,万人（根据中国省级人口量级推断）,3660000,True,原始省份-年份记录,高,False,
Shaanxi,陕西,2020,总人口/未分层,3955,万人（根据中国省级人口量级推断）,39550000,True,原始省份-年份记录,高,False,
Gansu,甘肃,2020,总人口/未分层,2501,万人（根据中国省级人口量级推断）,25010000,True,原始省份-年份记录,高,False,
Qinghai,青海,2020,总人口/未分层,593,万人（根据中国省级人口量级推断）,5930000,True,原始省份-年份记录,高,False,
Ningxia,宁夏,2020,总人口/未分层,721,万人（根据中国省级人口量级推断）,7210000,True,原始省份-年份记录,高,False,
Xinjiang,新疆,2020,总人口/未分层,2590,万人（根据中国省级人口量级推断）,25900000,True,原始省份-年份记录,高,False,
Beijing,北京,2019,总人口/未分层,2190,万人（根据中国省级人口量级推断）,21900000,True,原始省份-年份记录,高,False,
Tianjin,天津,2019,总人口/未分层,1385,万人（根据中国省级人口量级推断）,13850000,True,原始省份-年份记录,高,False,
Hebei,河北,2019,总人口/未分层,7447,万人（根据中国省级人口量级推断）,74470000,True,原始省份-年份记录,高,False,
Shanxi,山西,2019,总人口/未分层,3497,万人（根据中国省级人口量级推断）,34970000,True,原始省份-年份记录,高,False,
Inner Mongolia,内蒙古,2019,总人口/未分层,2415,万人（根据中国省级人口量级推断）,24150000,True,原始省份-年份记录,高,False,
Liaoning,辽宁,2019,总人口/未分层,4277,万人（根据中国省级人口量级推断）,42770000,True,原始省份-年份记录,高,False,
Jilin,吉林,2019,总人口/未分层,2448,万人（根据中国省级人口量级推断）,24480000,True,原始省份-年份记录,高,False,
Heilongjiang,黑龙江,2019,总人口/未分层,3255,万人（根据中国省级人口量级推断）,32550000,True,原始省份-年份记录,高,False,
Shanghai,上海,2019,总人口/未分层,2481,万人（根据中国省级人口量级推断）,24810000,True,原始省份-年份记录,高,False,
Jiangsu,江苏,2019,总人口/未分层,8469,万人（根据中国省级人口量级推断）,84690000,True,原始省份-年份记录,高,False,
Zhejiang,浙江,2019,总人口/未分层,6375,万人（根据中国省级人口量级推断）,63750000,True,原始省份-年份记录,高,False,
Anhui,安徽,2019,总人口/未分层,6092,万人（根据中国省级人口量级推断）,60920000,True,原始省份-年份记录,高,False,
Fujian,福建,2019,总人口/未分层,4137,万人（根据中国省级人口量级推断）,41370000,True,原始省份-年份记录,高,False,
Jiangxi,江西,2019,总人口/未分层,4516,万人（根据中国省级人口量级推断）,45160000,True,原始省份-年份记录,高,False,
Shandong,山东,2019,总人口/未分层,10106,万人（根据中国省级人口量级推断）,101060000,True,原始省份-年份记录,高,False,
Henan,河南,2019,总人口/未分层,9901,万人（根据中国省级人口量级推断）,99010000,True,原始省份-年份记录,高,False,
Hubei,湖北,2019,总人口/未分层,5927,万人（根据中国省级人口量级推断）,59270000,True,原始省份-年份记录,高,False,
Hunan,湖南,2019,总人口/未分层,6640,万人（根据中国省级人口量级推断）,66400000,True,原始省份-年份记录,高,False,
Guangdong,广东,2019,总人口/未分层,12489,万人（根据中国省级人口量级推断）,124890000,True,原始省份-年份记录,高,False,
Guangxi,广西,2019,总人口/未分层,4982,万人（根据中国省级人口量级推断）,49820000,True,原始省份-年份记录,高,False,
Hainan,海南,2019,总人口/未分层,995,万人（根据中国省级人口量级推断）,9950000,True,原始省份-年份记录,高,False,
Chongqing,重庆,2019,总人口/未分层,3188,万人（根据中国省级人口量级推断）,31880000,True,原始省份-年份记录,高,False,
Sichuan,四川,2019,总人口/未分层,8351,万人（根据中国省级人口量级推断）,83510000,True,原始省份-年份记录,高,False,
Guizhou,贵州,2019,总人口/未分层,3848,万人（根据中国省级人口量级推断）,38480000,True,原始省份-年份记录,高,False,
Yunnan,云南,2019,总人口/未分层,4714,万人（根据中国省级人口量级推断）,47140000,True,原始省份-年份记录,高,False,
Tibet,西藏,2019,总人口/未分层,361,万人（根据中国省级人口量级推断）,3610000,True,原始省份-年份记录,高,False,
Shaanxi,陕西,2019,总人口/未分层,3944,万人（根据中国省级人口量级推断）,39440000,True,原始省份-年份记录,高,False,
Gansu,甘肃,2019,总人口/未分层,2509,万人（根据中国省级人口量级推断）,25090000,True,原始省份-年份记录,高,False,
Qinghai,青海,2019,总人口/未分层,590,万人（根据中国省级人口量级推断）,5900000,True,原始省份-年份记录,高,False,
Ningxia,宁夏,2019,总人口/未分层,717,万人（根据中国省级人口量级推断）,7170000,True,原始省份-年份记录,高,False,
Xinjiang,新疆,2019,总人口/未分层,2559,万人（根据中国省级人口量级推断）,25590000,True,原始省份-年份记录,高,False,
Beijing,北京,2018,总人口/未分层,2192,万人（根据中国省级人口量级推断）,21920000,True,原始省份-年份记录,高,False,
Tianjin,天津,2018,总人口/未分层,1383,万人（根据中国省级人口量级推断）,13830000,True,原始省份-年份记录,高,False,
Hebei,河北,2018,总人口/未分层,7426,万人（根据中国省级人口量级推断）,74260000,True,原始省份-年份记录,高,False,
Shanxi,山西,2018,总人口/未分层,3502,万人（根据中国省级人口量级推断）,35020000,True,原始省份-年份记录,高,False,
Inner Mongolia,内蒙古,2018,总人口/未分层,2422,万人（根据中国省级人口量级推断）,24220000,True,原始省份-年份记录,高,False,
Liaoning,辽宁,2018,总人口/未分层,4291,万人（根据中国省级人口量级推断）,42910000,True,原始省份-年份记录,高,False,
Jilin,吉林,2018,总人口/未分层,2484,万人（根据中国省级人口量级推断）,24840000,True,原始省份-年份记录,高,False,
Heilongjiang,黑龙江,2018,总人口/未分层,3327,万人（根据中国省级人口量级推断）,33270000,True,原始省份-年份记录,高,False,
Shanghai,上海,2018,总人口/未分层,2475,万人（根据中国省级人口量级推断）,24750000,True,原始省份-年份记录,高,False,
Jiangsu,江苏,2018,总人口/未分层,8446,万人（根据中国省级人口量级推断）,84460000,True,原始省份-年份记录,高,False,
Zhejiang,浙江,2018,总人口/未分层,6273,万人（根据中国省级人口量级推断）,62730000,True,原始省份-年份记录,高,False,
Anhui,安徽,2018,总人口/未分层,6076,万人（根据中国省级人口量级推断）,60760000,True,原始省份-年份记录,高,False,
Fujian,福建,2018,总人口/未分层,4104,万人（根据中国省级人口量级推断）,41040000,True,原始省份-年份记录,高,False,
Jiangxi,江西,2018,总人口/未分层,4513,万人（根据中国省级人口量级推断）,45130000,True,原始省份-年份记录,高,False,
Shandong,山东,2018,总人口/未分层,10077,万人（根据中国省级人口量级推断）,100770000,True,原始省份-年份记录,高,False,
Henan,河南,2018,总人口/未分层,9864,万人（根据中国省级人口量级推断）,98640000,True,原始省份-年份记录,高,False,
Hubei,湖北,2018,总人口/未分层,5917,万人（根据中国省级人口量级推断）,59170000,True,原始省份-年份记录,高,False,
Hunan,湖南,2018,总人口/未分层,6635,万人（根据中国省级人口量级推断）,66350000,True,原始省份-年份记录,高,False,
Guangdong,广东,2018,总人口/未分层,12348,万人（根据中国省级人口量级推断）,123480000,True,原始省份-年份记录,高,False,
Guangxi,广西,2018,总人口/未分层,4947,万人（根据中国省级人口量级推断）,49470000,True,原始省份-年份记录,高,False,
Hainan,海南,2018,总人口/未分层,982,万人（根据中国省级人口量级推断）,9820000,True,原始省份-年份记录,高,False,
Chongqing,重庆,2018,总人口/未分层,3163,万人（根据中国省级人口量级推断）,31630000,True,原始省份-年份记录,高,False,
Sichuan,四川,2018,总人口/未分层,8321,万人（根据中国省级人口量级推断）,83210000,True,原始省份-年份记录,高,False,
Guizhou,贵州,2018,总人口/未分层,3822,万人（根据中国省级人口量级推断）,38220000,True,原始省份-年份记录,高,False,
Yunnan,云南,2018,总人口/未分层,4703,万人（根据中国省级人口量级推断）,47030000,True,原始省份-年份记录,高,False,
Tibet,西藏,2018,总人口/未分层,354,万人（根据中国省级人口量级推断）,3540000,True,原始省份-年份记录,高,False,
Shaanxi,陕西,2018,总人口/未分层,3931,万人（根据中国省级人口量级推断）,39310000,True,原始省份-年份记录,高,False,
Gansu,甘肃,2018,总人口/未分层,2515,万人（根据中国省级人口量级推断）,25150000,True,原始省份-年份记录,高,False,
Qinghai,青海,2018,总人口/未分层,587,万人（根据中国省级人口量级推断）,5870000,True,原始省份-年份记录,高,False,
Ningxia,宁夏,2018,总人口/未分层,710,万人（根据中国省级人口量级推断）,7100000,True,原始省份-年份记录,高,False,
Xinjiang,新疆,2018,总人口/未分层,2520,万人（根据中国省级人口量级推断）,25200000,True,原始省份-年份记录,高,False,
Beijing,北京,2017,总人口/未分层,2194,万人（根据中国省级人口量级推断）,21940000,True,原始省份-年份记录,高,False,
Tianjin,天津,2017,总人口/未分层,1410,万人（根据中国省级人口量级推断）,14100000,True,原始省份-年份记录,高,False,
Hebei,河北,2017,总人口/未分层,7409,万人（根据中国省级人口量级推断）,74090000,True,原始省份-年份记录,高,False,
Shanxi,山西,2017,总人口/未分层,3510,万人（根据中国省级人口量级推断）,35100000,True,原始省份-年份记录,高,False,
Inner Mongolia,内蒙古,2017,总人口/未分层,2433,万人（根据中国省级人口量级推断）,24330000,True,原始省份-年份记录,高,False,
Liaoning,辽宁,2017,总人口/未分层,4312,万人（根据中国省级人口量级推断）,43120000,True,原始省份-年份记录,高,False,
Jilin,吉林,2017,总人口/未分层,2526,万人（根据中国省级人口量级推断）,25260000,True,原始省份-年份记录,高,False,
Heilongjiang,黑龙江,2017,总人口/未分层,3399,万人（根据中国省级人口量级推断）,33990000,True,原始省份-年份记录,高,False,
