省份,省份_规范,年份,人群类别,消费量单位,平均消费量_g_day,平均消费量_kg_day,P95或高消费量_g_day,P95或高消费量_kg_day,SampleCount,Contaminated sample,Mean_concentration_MP(ug/kg),BodyWeight (kg),消费量匹配方式,消费量匹配置信度,是否建议人工复核,复核原因
云南省,云南,2017,总人群/未分层,g/day,3.5,0.0035,,,17,,155.513043478261,60,原始省份-年份记录,高,False,原始文件未提供 P95 或高消费量字段；当前仅使用平均消费量。
云南省,云南,2018,总人群/未分层,g/day,3.5,0.0035,,,32,,155.513043478261,60,原始省份-年份记录,高,False,原始文件未提供 P95 或高消费量字段；当前仅使用平均消费量。
云南省,云南,2019,总人群/未分层,g/day,3.5,0.0035,,,52,2.0,155.513043478261,60,原始省份-年份记录,高,False,原始文件未提供 P95 或高消费量字段；当前仅使用平均消费量。
云南省,云南,2020,总人群/未分层,g/day,3.5,0.0035,,,729,21.0,155.513043478261,60,原始省份-年份记录,高,False,原始文件未提供 P95 或高消费量字段；当前仅使用平均消费量。
云南省,云南,2021,总人群/未分层,g/day,3.5,0.0035,,,311,8.0,155.513043478261,60,原始省份-年份记录,高,False,原始文件未提供 P95 或高消费量字段；当前仅使用平均消费量。
云南省,云南,2022,总人群/未分层,g/day,3.5,0.0035,,,627,9.0,155.513043478261,60,原始省份-年份记录,高,False,原始文件未提供 P95 或高消费量字段；当前仅使用平均消费量。
内蒙古自治区,内蒙古,2015,总人群/未分层,g/day,1.8,0.0018,,,2,,139.25,60,原始省份-年份记录,高,False,原始文件未提供 P95 或高消费量字段；当前仅使用平均消费量。
内蒙古自治区,内蒙古,2016,总人群/未分层,g/day,1.8,0.0018,,,46,2.0,139.25,60,原始省份-年份记录,高,False,原始文件未提供 P95 或高消费量字段；当前仅使用平均消费量。
内蒙古自治区,内蒙古,2017,总人群/未分层,g/day,1.8,0.0018,,,39,1.0,139.25,60,原始省份-年份记录,高,False,原始文件未提供 P95 或高消费量字段；当前仅使用平均消费量。
内蒙古自治区,内蒙古,2018,总人群/未分层,g/day,1.8,0.0018,,,44,1.0,139.25,60,原始省份-年份记录,高,False,原始文件未提供 P95 或高消费量字段；当前仅使用平均消费量。
内蒙古自治区,内蒙古,2019,总人群/未分层,g/day,1.8,0.0018,,,97,,139.25,60,原始省份-年份记录,高,False,原始文件未提供 P95 或高消费量字段；当前仅使用平均消费量。
内蒙古自治区,内蒙古,2020,总人群/未分层,g/day,1.8,0.0018,,,198,2.0,139.25,60,原始省份-年份记录,高,False,原始文件未提供 P95 或高消费量字段；当前仅使用平均消费量。
内蒙古自治区,内蒙古,2021,总人群/未分层,g/day,1.8,0.0018,,,412,9.0,139.25,60,原始省份-年份记录,高,False,原始文件未提供 P95 或高消费量字段；当前仅使用平均消费量。
内蒙古自治区,内蒙古,2022,总人群/未分层,g/day,1.8,0.0018,,,345,2.0,139.25,60,原始省份-年份记录,高,False,原始文件未提供 P95 或高消费量字段；当前仅使用平均消费量。
北京市,北京,2015,总人群/未分层,g/day,5.6,0.0056,,,34,20.0,181.180666666667,60,原始省份-年份记录,高,False,原始文件未提供 P95 或高消费量字段；当前仅使用平均消费量。
北京市,北京,2016,总人群/未分层,g/day,5.6,0.0056,,,44,4.0,181.180666666667,60,原始省份-年份记录,高,False,原始文件未提供 P95 或高消费量字段；当前仅使用平均消费量。
北京市,北京,2017,总人群/未分层,g/day,5.6,0.0056,,,56,2.0,181.180666666667,60,原始省份-年份记录,高,False,原始文件未提供 P95 或高消费量字段；当前仅使用平均消费量。
北京市,北京,2018,总人群/未分层,g/day,5.6,0.0056,,,92,2.0,181.180666666667,60,原始省份-年份记录,高,False,原始文件未提供 P95 或高消费量字段；当前仅使用平均消费量。
北京市,北京,2019,总人群/未分层,g/day,5.6,0.0056,,,98,1.0,181.180666666667,60,原始省份-年份记录,高,False,原始文件未提供 P95 或高消费量字段；当前仅使用平均消费量。
北京市,北京,2020,总人群/未分层,g/day,5.6,0.0056,,,179,3.0,181.180666666667,60,原始省份-年份记录,高,False,原始文件未提供 P95 或高消费量字段；当前仅使用平均消费量。
北京市,北京,2021,总人群/未分层,g/day,5.6,0.0056,,,381,11.0,181.180666666667,60,原始省份-年份记录,高,False,原始文件未提供 P95 或高消费量字段；当前仅使用平均消费量。
北京市,北京,2022,总人群/未分层,g/day,5.6,0.0056,,,180,1.0,181.180666666667,60,原始省份-年份记录,高,False,原始文件未提供 P95 或高消费量字段；当前仅使用平均消费量。
吉林省,吉林,2015,总人群/未分层,g/day,1.5,0.0015,,,24,,58.1875,60,原始省份-年份记录,高,False,原始文件未提供 P95 或高消费量字段；当前仅使用平均消费量。
吉林省,吉林,2016,总人群/未分层,g/day,1.5,0.0015,,,33,,58.1875,60,原始省份-年份记录,高,False,原始文件未提供 P95 或高消费量字段；当前仅使用平均消费量。
吉林省,吉林,2017,总人群/未分层,g/day,1.5,0.0015,,,27,,58.1875,60,原始省份-年份记录,高,False,原始文件未提供 P95 或高消费量字段；当前仅使用平均消费量。
吉林省,吉林,2018,总人群/未分层,g/day,1.5,0.0015,,,75,1.0,58.1875,60,原始省份-年份记录,高,False,原始文件未提供 P95 或高消费量字段；当前仅使用平均消费量。
吉林省,吉林,2019,总人群/未分层,g/day,1.5,0.0015,,,126,1.0,58.1875,60,原始省份-年份记录,高,False,原始文件未提供 P95 或高消费量字段；当前仅使用平均消费量。
吉林省,吉林,2020,总人群/未分层,g/day,1.5,0.0015,,,70,,58.1875,60,原始省份-年份记录,高,False,原始文件未提供 P95 或高消费量字段；当前仅使用平均消费量。
吉林省,吉林,2021,总人群/未分层,g/day,1.5,0.0015,,,329,8.0,58.1875,60,原始省份-年份记录,高,False,原始文件未提供 P95 或高消费量字段；当前仅使用平均消费量。
吉林省,吉林,2022,总人群/未分层,g/day,1.5,0.0015,,,426,23.0,58.1875,60,原始省份-年份记录,高,False,原始文件未提供 P95 或高消费量字段；当前仅使用平均消费量。
四川省,四川,2015,总人群/未分层,g/day,2.21,0.00221,,,67,8.0,153.4836,60,原始省份-年份记录,高,False,原始文件未提供 P95 或高消费量字段；当前仅使用平均消费量。
四川省,四川,2016,总人群/未分层,g/day,2.21,0.00221,,,166,11.0,153.4836,60,原始省份-年份记录,高,False,原始文件未提供 P95 或高消费量字段；当前仅使用平均消费量。
四川省,四川,2017,总人群/未分层,g/day,2.21,0.00221,,,28,2.0,153.4836,60,原始省份-年份记录,高,False,原始文件未提供 P95 或高消费量字段；当前仅使用平均消费量。
四川省,四川,2018,总人群/未分层,g/day,2.21,0.00221,,,131,9.0,153.4836,60,原始省份-年份记录,高,False,原始文件未提供 P95 或高消费量字段；当前仅使用平均消费量。
四川省,四川,2019,总人群/未分层,g/day,2.21,0.00221,,,75,3.0,153.4836,60,原始省份-年份记录,高,False,原始文件未提供 P95 或高消费量字段；当前仅使用平均消费量。
四川省,四川,2020,总人群/未分层,g/day,2.21,0.00221,,,415,9.0,153.4836,60,原始省份-年份记录,高,False,原始文件未提供 P95 或高消费量字段；当前仅使用平均消费量。
四川省,四川,2021,总人群/未分层,g/day,2.21,0.00221,,,456,13.0,153.4836,60,原始省份-年份记录,高,False,原始文件未提供 P95 或高消费量字段；当前仅使用平均消费量。
四川省,四川,2022,总人群/未分层,g/day,2.21,0.00221,,,533,20.0,153.4836,60,原始省份-年份记录,高,False,原始文件未提供 P95 或高消费量字段；当前仅使用平均消费量。
天津市,天津,2015,总人群/未分层,g/day,4.24,0.00424,,,103,2.0,66.47,60,原始省份-年份记录,高,False,原始文件未提供 P95 或高消费量字段；当前仅使用平均消费量。
天津市,天津,2016,总人群/未分层,g/day,4.24,0.00424,,,69,1.0,66.47,60,原始省份-年份记录,高,False,原始文件未提供 P95 或高消费量字段；当前仅使用平均消费量。
天津市,天津,2017,总人群/未分层,g/day,4.24,0.00424,,,160,4.0,66.47,60,原始省份-年份记录,高,False,原始文件未提供 P95 或高消费量字段；当前仅使用平均消费量。
天津市,天津,2018,总人群/未分层,g/day,4.24,0.00424,,,123,3.0,66.47,60,原始省份-年份记录,高,False,原始文件未提供 P95 或高消费量字段；当前仅使用平均消费量。
天津市,天津,2019,总人群/未分层,g/day,4.24,0.00424,,,135,4.0,66.47,60,原始省份-年份记录,高,False,原始文件未提供 P95 或高消费量字段；当前仅使用平均消费量。
天津市,天津,2020,总人群/未分层,g/day,4.24,0.00424,,,101,2.0,66.47,60,原始省份-年份记录,高,False,原始文件未提供 P95 或高消费量字段；当前仅使用平均消费量。
天津市,天津,2021,总人群/未分层,g/day,4.24,0.00424,,,219,1.0,66.47,60,原始省份-年份记录,高,False,原始文件未提供 P95 或高消费量字段；当前仅使用平均消费量。
天津市,天津,2022,总人群/未分层,g/day,4.24,0.00424,,,239,4.0,66.47,60,原始省份-年份记录,高,False,原始文件未提供 P95 或高消费量字段；当前仅使用平均消费量。
宁夏回族自治区,宁夏,2016,总人群/未分层,g/day,0.71,0.0007099999999999999,,,4,,109.98,60,原始省份-年份记录,高,False,原始文件未提供 P95 或高消费量字段；当前仅使用平均消费量。
宁夏回族自治区,宁夏,2017,总人群/未分层,g/day,0.71,0.0007099999999999999,,,7,,109.98,60,原始省份-年份记录,高,False,原始文件未提供 P95 或高消费量字段；当前仅使用平均消费量。
宁夏回族自治区,宁夏,2018,总人群/未分层,g/day,0.71,0.0007099999999999999,,,31,,109.98,60,原始省份-年份记录,高,False,原始文件未提供 P95 或高消费量字段；当前仅使用平均消费量。
宁夏回族自治区,宁夏,2019,总人群/未分层,g/day,0.71,0.0007099999999999999,,,78,,109.98,60,原始省份-年份记录,高,False,原始文件未提供 P95 或高消费量字段；当前仅使用平均消费量。
宁夏回族自治区,宁夏,2020,总人群/未分层,g/day,0.71,0.0007099999999999999,,,72,2.0,109.98,60,原始省份-年份记录,高,False,原始文件未提供 P95 或高消费量字段；当前仅使用平均消费量。
宁夏回族自治区,宁夏,2021,总人群/未分层,g/day,0.71,0.0007099999999999999,,,134,5.0,109.98,60,原始省份-年份记录,高,False,原始文件未提供 P95 或高消费量字段；当前仅使用平均消费量。
宁夏回族自治区,宁夏,2022,总人群/未分层,g/day,0.71,0.0007099999999999999,,,77,,109.98,60,原始省份-年份记录,高,False,原始文件未提供 P95 或高消费量字段；当前仅使用平均消费量。
安徽省,安徽,2015,总人群/未分层,g/day,1.56,0.00156,,,32,3.0,145.523333333333,60,原始省份-年份记录,高,False,原始文件未提供 P95 或高消费量字段；当前仅使用平均消费量。
安徽省,安徽,2016,总人群/未分层,g/day,1.56,0.00156,,,150,8.0,145.523333333333,60,原始省份-年份记录,高,False,原始文件未提供 P95 或高消费量字段；当前仅使用平均消费量。
安徽省,安徽,2017,总人群/未分层,g/day,1.56,0.00156,,,76,10.0,145.523333333333,60,原始省份-年份记录,高,False,原始文件未提供 P95 或高消费量字段；当前仅使用平均消费量。
安徽省,安徽,2018,总人群/未分层,g/day,1.56,0.00156,,,197,10.0,145.523333333333,60,原始省份-年份记录,高,False,原始文件未提供 P95 或高消费量字段；当前仅使用平均消费量。
安徽省,安徽,2019,总人群/未分层,g/day,1.56,0.00156,,,152,11.0,145.523333333333,60,原始省份-年份记录,高,False,原始文件未提供 P95 或高消费量字段；当前仅使用平均消费量。
安徽省,安徽,2020,总人群/未分层,g/day,1.56,0.00156,,,516,14.0,145.523333333333,60,原始省份-年份记录,高,False,原始文件未提供 P95 或高消费量字段；当前仅使用平均消费量。
安徽省,安徽,2021,总人群/未分层,g/day,1.56,0.00156,,,608,15.0,145.523333333333,60,原始省份-年份记录,高,False,原始文件未提供 P95 或高消费量字段；当前仅使用平均消费量。
安徽省,安徽,2022,总人群/未分层,g/day,1.56,0.00156,,,643,16.0,145.523333333333,60,原始省份-年份记录,高,False,原始文件未提供 P95 或高消费量字段；当前仅使用平均消费量。
山东省,山东,2015,总人群/未分层,g/day,4.67,0.00467,,,216,5.0,140.723768844221,60,原始省份-年份记录,高,False,原始文件未提供 P95 或高消费量字段；当前仅使用平均消费量。
山东省,山东,2016,总人群/未分层,g/day,4.67,0.00467,,,342,13.0,140.723768844221,60,原始省份-年份记录,高,False,原始文件未提供 P95 或高消费量字段；当前仅使用平均消费量。
山东省,山东,2017,总人群/未分层,g/day,4.67,0.00467,,,198,4.0,140.723768844221,60,原始省份-年份记录,高,False,原始文件未提供 P95 或高消费量字段；当前仅使用平均消费量。
山东省,山东,2018,总人群/未分层,g/day,4.67,0.00467,,,261,12.0,140.723768844221,60,原始省份-年份记录,高,False,原始文件未提供 P95 或高消费量字段；当前仅使用平均消费量。
山东省,山东,2019,总人群/未分层,g/day,4.67,0.00467,,,198,2.0,140.723768844221,60,原始省份-年份记录,高,False,原始文件未提供 P95 或高消费量字段；当前仅使用平均消费量。
山东省,山东,2020,总人群/未分层,g/day,4.67,0.00467,,,1556,37.0,140.723768844221,60,原始省份-年份记录,高,False,原始文件未提供 P95 或高消费量字段；当前仅使用平均消费量。
山东省,山东,2021,总人群/未分层,g/day,4.67,0.00467,,,2475,122.0,140.723768844221,60,原始省份-年份记录,高,False,原始文件未提供 P95 或高消费量字段；当前仅使用平均消费量。
山东省,山东,2022,总人群/未分层,g/day,4.67,0.00467,,,2094,91.0,140.723768844221,60,原始省份-年份记录,高,False,原始文件未提供 P95 或高消费量字段；当前仅使用平均消费量。
山西省,山西,2015,总人群/未分层,g/day,1.0,0.001,,,4,,104.290909090909,60,原始省份-年份记录,高,False,原始文件未提供 P95 或高消费量字段；当前仅使用平均消费量。
山西省,山西,2016,总人群/未分层,g/day,1.0,0.001,,,10,2.0,104.290909090909,60,原始省份-年份记录,高,False,原始文件未提供 P95 或高消费量字段；当前仅使用平均消费量。
山西省,山西,2017,总人群/未分层,g/day,1.0,0.001,,,14,,104.290909090909,60,原始省份-年份记录,高,False,原始文件未提供 P95 或高消费量字段；当前仅使用平均消费量。
山西省,山西,2018,总人群/未分层,g/day,1.0,0.001,,,29,2.0,104.290909090909,60,原始省份-年份记录,高,False,原始文件未提供 P95 或高消费量字段；当前仅使用平均消费量。
山西省,山西,2019,总人群/未分层,g/day,1.0,0.001,,,22,4.0,104.290909090909,60,原始省份-年份记录,高,False,原始文件未提供 P95 或高消费量字段；当前仅使用平均消费量。
山西省,山西,2020,总人群/未分层,g/day,1.0,0.001,,,326,5.0,104.290909090909,60,原始省份-年份记录,高,False,原始文件未提供 P95 或高消费量字段；当前仅使用平均消费量。
山西省,山西,2021,总人群/未分层,g/day,1.0,0.001,,,358,14.0,104.290909090909,60,原始省份-年份记录,高,False,原始文件未提供 P95 或高消费量字段；当前仅使用平均消费量。
山西省,山西,2022,总人群/未分层,g/day,1.0,0.001,,,467,9.0,104.290909090909,60,原始省份-年份记录,高,False,原始文件未提供 P95 或高消费量字段；当前仅使用平均消费量。
广东省,广东,2015,总人群/未分层,g/day,2.55,0.0025499999999999997,,,38,2.0,173.916666666667,60,原始省份-年份记录,高,False,原始文件未提供 P95 或高消费量字段；当前仅使用平均消费量。
广东省,广东,2016,总人群/未分层,g/day,2.55,0.0025499999999999997,,,200,11.0,173.916666666667,60,原始省份-年份记录,高,False,原始文件未提供 P95 或高消费量字段；当前仅使用平均消费量。
广东省,广东,2017,总人群/未分层,g/day,2.55,0.0025499999999999997,,,166,6.0,173.916666666667,60,原始省份-年份记录,高,False,原始文件未提供 P95 或高消费量字段；当前仅使用平均消费量。
广东省,广东,2018,总人群/未分层,g/day,2.55,0.0025499999999999997,,,188,29.0,173.916666666667,60,原始省份-年份记录,高,False,原始文件未提供 P95 或高消费量字段；当前仅使用平均消费量。
广东省,广东,2019,总人群/未分层,g/day,2.55,0.0025499999999999997,,,375,33.0,173.916666666667,60,原始省份-年份记录,高,False,原始文件未提供 P95 或高消费量字段；当前仅使用平均消费量。
广东省,广东,2020,总人群/未分层,g/day,2.55,0.0025499999999999997,,,1159,34.0,173.916666666667,60,原始省份-年份记录,高,False,原始文件未提供 P95 或高消费量字段；当前仅使用平均消费量。
广东省,广东,2021,总人群/未分层,g/day,2.55,0.0025499999999999997,,,1521,68.0,173.916666666667,60,原始省份-年份记录,高,False,原始文件未提供 P95 或高消费量字段；当前仅使用平均消费量。
广东省,广东,2022,总人群/未分层,g/day,2.55,0.0025499999999999997,,,1719,35.0,173.916666666667,60,原始省份-年份记录,高,False,原始文件未提供 P95 或高消费量字段；当前仅使用平均消费量。
广西壮族自治区,广西,2015,总人群/未分层,g/day,1.38,0.00138,,,19,,164.571428571429,60,原始省份-年份记录,高,False,原始文件未提供 P95 或高消费量字段；当前仅使用平均消费量。
广西壮族自治区,广西,2016,总人群/未分层,g/day,1.38,0.00138,,,17,3.0,164.571428571429,60,原始省份-年份记录,高,False,原始文件未提供 P95 或高消费量字段；当前仅使用平均消费量。
广西壮族自治区,广西,2017,总人群/未分层,g/day,1.38,0.00138,,,11,1.0,164.571428571429,60,原始省份-年份记录,高,False,原始文件未提供 P95 或高消费量字段；当前仅使用平均消费量。
广西壮族自治区,广西,2018,总人群/未分层,g/day,1.38,0.00138,,,31,2.0,164.571428571429,60,原始省份-年份记录,高,False,原始文件未提供 P95 或高消费量字段；当前仅使用平均消费量。
广西壮族自治区,广西,2019,总人群/未分层,g/day,1.38,0.00138,,,4,,164.571428571429,60,原始省份-年份记录,高,False,原始文件未提供 P95 或高消费量字段；当前仅使用平均消费量。
广西壮族自治区,广西,2020,总人群/未分层,g/day,1.38,0.00138,,,590,10.0,164.571428571429,60,原始省份-年份记录,高,False,原始文件未提供 P95 或高消费量字段；当前仅使用平均消费量。
广西壮族自治区,广西,2021,总人群/未分层,g/day,1.38,0.00138,,,426,6.0,164.571428571429,60,原始省份-年份记录,高,False,原始文件未提供 P95 或高消费量字段；当前仅使用平均消费量。
广西壮族自治区,广西,2022,总人群/未分层,g/day,1.38,0.00138,,,344,5.0,164.571428571429,60,原始省份-年份记录,高,False,原始文件未提供 P95 或高消费量字段；当前仅使用平均消费量。
新疆维吾尔自治区,新疆,2015,总人群/未分层,g/day,0.94,0.00094,,,5,,148.0,60,原始省份-年份记录,高,False,原始文件未提供 P95 或高消费量字段；当前仅使用平均消费量。
新疆维吾尔自治区,新疆,2016,总人群/未分层,g/day,0.94,0.00094,,,12,1.0,148.0,60,原始省份-年份记录,高,False,原始文件未提供 P95 或高消费量字段；当前仅使用平均消费量。
新疆维吾尔自治区,新疆,2017,总人群/未分层,g/day,0.94,0.00094,,,30,,148.0,60,原始省份-年份记录,高,False,原始文件未提供 P95 或高消费量字段；当前仅使用平均消费量。
新疆维吾尔自治区,新疆,2018,总人群/未分层,g/day,0.94,0.00094,,,99,1.0,148.0,60,原始省份-年份记录,高,False,原始文件未提供 P95 或高消费量字段；当前仅使用平均消费量。
新疆维吾尔自治区,新疆,2019,总人群/未分层,g/day,0.94,0.00094,,,60,1.0,148.0,60,原始省份-年份记录,高,False,原始文件未提供 P95 或高消费量字段；当前仅使用平均消费量。
新疆维吾尔自治区,新疆,2020,总人群/未分层,g/day,0.94,0.00094,,,147,2.0,148.0,60,原始省份-年份记录,高,False,原始文件未提供 P95 或高消费量字段；当前仅使用平均消费量。
新疆维吾尔自治区,新疆,2021,总人群/未分层,g/day,0.94,0.00094,,,368,6.0,148.0,60,原始省份-年份记录,高,False,原始文件未提供 P95 或高消费量字段；当前仅使用平均消费量。
新疆维吾尔自治区,新疆,2022,总人群/未分层,g/day,0.94,0.00094,,,187,,148.0,60,原始省份-年份记录,高,False,原始文件未提供 P95 或高消费量字段；当前仅使用平均消费量。
江苏省,江苏,2015,总人群/未分层,g/day,5.3,0.0053,,,45,9.0,181.207692307692,60,原始省份-年份记录,高,False,原始文件未提供 P95 或高消费量字段；当前仅使用平均消费量。
江苏省,江苏,2016,总人群/未分层,g/day,5.3,0.0053,,,151,3.0,181.207692307692,60,原始省份-年份记录,高,False,原始文件未提供 P95 或高消费量字段；当前仅使用平均消费量。
江苏省,江苏,2017,总人群/未分层,g/day,5.3,0.0053,,,100,3.0,181.207692307692,60,原始省份-年份记录,高,False,原始文件未提供 P95 或高消费量字段；当前仅使用平均消费量。
江苏省,江苏,2018,总人群/未分层,g/day,5.3,0.0053,,,202,13.0,181.207692307692,60,原始省份-年份记录,高,False,原始文件未提供 P95 或高消费量字段；当前仅使用平均消费量。
江苏省,江苏,2019,总人群/未分层,g/day,5.3,0.0053,,,255,14.0,181.207692307692,60,原始省份-年份记录,高,False,原始文件未提供 P95 或高消费量字段；当前仅使用平均消费量。
江苏省,江苏,2020,总人群/未分层,g/day,5.3,0.0053,,,964,32.0,181.207692307692,60,原始省份-年份记录,高,False,原始文件未提供 P95 或高消费量字段；当前仅使用平均消费量。
江苏省,江苏,2021,总人群/未分层,g/day,5.3,0.0053,,,1240,69.0,181.207692307692,60,原始省份-年份记录,高,False,原始文件未提供 P95 或高消费量字段；当前仅使用平均消费量。
江苏省,江苏,2022,总人群/未分层,g/day,5.3,0.0053,,,2004,57.0,181.207692307692,60,原始省份-年份记录,高,False,原始文件未提供 P95 或高消费量字段；当前仅使用平均消费量。
江西省,江西,2015,总人群/未分层,g/day,4.52,0.00452,,,19,1.0,347.6,60,原始省份-年份记录,高,False,原始文件未提供 P95 或高消费量字段；当前仅使用平均消费量。
江西省,江西,2016,总人群/未分层,g/day,4.52,0.00452,,,23,1.0,347.6,60,原始省份-年份记录,高,False,原始文件未提供 P95 或高消费量字段；当前仅使用平均消费量。
江西省,江西,2017,总人群/未分层,g/day,4.52,0.00452,,,29,1.0,347.6,60,原始省份-年份记录,高,False,原始文件未提供 P95 或高消费量字段；当前仅使用平均消费量。
江西省,江西,2018,总人群/未分层,g/day,4.52,0.00452,,,199,13.0,347.6,60,原始省份-年份记录,高,False,原始文件未提供 P95 或高消费量字段；当前仅使用平均消费量。
江西省,江西,2019,总人群/未分层,g/day,4.52,0.00452,,,249,10.0,347.6,60,原始省份-年份记录,高,False,原始文件未提供 P95 或高消费量字段；当前仅使用平均消费量。
江西省,江西,2020,总人群/未分层,g/day,4.52,0.00452,,,357,2.0,347.6,60,原始省份-年份记录,高,False,原始文件未提供 P95 或高消费量字段；当前仅使用平均消费量。
江西省,江西,2021,总人群/未分层,g/day,4.52,0.00452,,,561,8.0,347.6,60,原始省份-年份记录,高,False,原始文件未提供 P95 或高消费量字段；当前仅使用平均消费量。
江西省,江西,2022,总人群/未分层,g/day,4.52,0.00452,,,487,5.0,347.6,60,原始省份-年份记录,高,False,原始文件未提供 P95 或高消费量字段；当前仅使用平均消费量。
河北省,河北,2015,总人群/未分层,g/day,2.2,0.0022,,,20,1.0,70.2,60,原始省份-年份记录,高,False,原始文件未提供 P95 或高消费量字段；当前仅使用平均消费量。
河北省,河北,2016,总人群/未分层,g/day,2.2,0.0022,,,2,,70.2,60,原始省份-年份记录,高,False,原始文件未提供 P95 或高消费量字段；当前仅使用平均消费量。
河北省,河北,2017,总人群/未分层,g/day,2.2,0.0022,,,1,,70.2,60,原始省份-年份记录,高,False,原始文件未提供 P95 或高消费量字段；当前仅使用平均消费量。
河北省,河北,2019,总人群/未分层,g/day,2.2,0.0022,,,216,,70.2,60,原始省份-年份记录,高,False,原始文件未提供 P95 或高消费量字段；当前仅使用平均消费量。
河北省,河北,2020,总人群/未分层,g/day,2.2,0.0022,,,335,1.0,70.2,60,原始省份-年份记录,高,False,原始文件未提供 P95 或高消费量字段；当前仅使用平均消费量。
河北省,河北,2021,总人群/未分层,g/day,2.2,0.0022,,,172,5.0,70.2,60,原始省份-年份记录,高,False,原始文件未提供 P95 或高消费量字段；当前仅使用平均消费量。
河北省,河北,2022,总人群/未分层,g/day,2.2,0.0022,,,31,7.0,70.2,60,原始省份-年份记录,高,False,原始文件未提供 P95 或高消费量字段；当前仅使用平均消费量。
河南省,河南,2015,总人群/未分层,g/day,4.29,0.00429,,,208,1.0,162.309253731343,60,原始省份-年份记录,高,False,原始文件未提供 P95 或高消费量字段；当前仅使用平均消费量。
河南省,河南,2016,总人群/未分层,g/day,4.29,0.00429,,,196,1.0,162.309253731343,60,原始省份-年份记录,高,False,原始文件未提供 P95 或高消费量字段；当前仅使用平均消费量。
河南省,河南,2017,总人群/未分层,g/day,4.29,0.00429,,,348,6.0,162.309253731343,60,原始省份-年份记录,高,False,原始文件未提供 P95 或高消费量字段；当前仅使用平均消费量。
河南省,河南,2018,总人群/未分层,g/day,4.29,0.00429,,,234,26.0,162.309253731343,60,原始省份-年份记录,高,False,原始文件未提供 P95 或高消费量字段；当前仅使用平均消费量。
河南省,河南,2019,总人群/未分层,g/day,4.29,0.00429,,,927,5.0,162.309253731343,60,原始省份-年份记录,高,False,原始文件未提供 P95 或高消费量字段；当前仅使用平均消费量。
河南省,河南,2020,总人群/未分层,g/day,4.29,0.00429,,,1011,23.0,162.309253731343,60,原始省份-年份记录,高,False,原始文件未提供 P95 或高消费量字段；当前仅使用平均消费量。
河南省,河南,2021,总人群/未分层,g/day,4.29,0.00429,,,1432,63.0,162.309253731343,60,原始省份-年份记录,高,False,原始文件未提供 P95 或高消费量字段；当前仅使用平均消费量。
河南省,河南,2022,总人群/未分层,g/day,4.29,0.00429,,,20,57.0,162.309253731343,60,原始省份-年份记录,高,False,原始文件未提供 P95 或高消费量字段；当前仅使用平均消费量。
浙江省,浙江,2015,总人群/未分层,g/day,5.48,0.0054800000000000005,,,149,1.0,141.364130434783,60,原始省份-年份记录,高,False,原始文件未提供 P95 或高消费量字段；当前仅使用平均消费量。
浙江省,浙江,2016,总人群/未分层,g/day,5.48,0.0054800000000000005,,,97,11.0,141.364130434783,60,原始省份-年份记录,高,False,原始文件未提供 P95 或高消费量字段；当前仅使用平均消费量。
