新一级类,新二级类,新三级类,记录数,原始产品分类数,示例原始产品分类,示例产品名称,建议复核数
其他/待复核,冷冻饮品,冰淇淋,43,1,冷冻饮品-->冰淇淋,榴莲味冰淇淋；醇真原味冰淇淋；牛乳茶可可风味冰淇淋；巧克力香草口味脆筒冰淇淋；冰淇淋酪乳；梦龙松露巧克力口味冰淇淋；梦龙车厘子樱花口味冰淇淋；冰爽快线(菠萝+蜜瓜),43
其他/待复核,冷冻饮品,冰棍,39,1,冷冻饮品-->冰棍,钟薛高柠檬红茶口味棒冰；手工绿豆口味冰棍；冰山雪莲(冰棍)；爆浆菠萝(菠萝口味冰棍)；杨梅冰球(杨梅味甜味冰)；绿色之恋糖纳红豆+绿豆味棒冰；萌檬多柠檬口味棒冰；经典可乐可乐味棒冰,39
其他/待复核,食品相关产品行业,工具设备,24,1,食品相关产品行业-->工具设备,厨房小家电；电冰箱、冰柜；电冷热饮水机,24
其他/待复核,罐头食品,杂粮罐头,23,1,罐头食品-->杂粮罐头,好粥道椰奶燕麦粥；好粥道薏仁红豆粥；八宝粥；燕麦粥；木糖醇低糖莲子八宝粥(罐；桂圆莲子八宝粥罐头；五谷杂粮八宝粥罐头；黑米紫薯粥（粥类罐头）,23
其他/待复核,食品相关产品行业,食品接触用金属材料及制品,17,1,食品相关产品行业-->食品接触用金属材料及制品,食品用不锈钢制品,17
其他/待复核,咖啡及咖啡制品,咖啡及咖啡制品,15,1,咖啡及咖啡制品-->咖啡及咖啡制品,焙炒咖啡豆；焙炒咖啡；品）焙炒咖啡（豆）；烘焙咖啡豆；东鹏大咖咖啡饮料(经典拿铁低糖)；醇香拿铁咖啡饮料；1+2原味即溶咖啡饮品；雀巢咖啡奶香即溶咖啡饮品,15
其他/待复核,罐头食品,水产罐头,14,1,罐头食品-->水产罐头,金奖豆豉鲮鱼罐头食品；凤尾鱼罐头；三和牌豆豉鱼罐头；豆豉鱼罐头；金奖鲜炸鲮鱼（水产动物类罐头）；五香带鱼罐头；三和牌豆豉鲮鱼罐头；粤花牌金装豆豉鲮鱼罐头,14
其他/待复核,淀粉糖,淀粉糖,10,1,淀粉糖-->淀粉糖,葡萄糖；旺宝纯正®葡萄糖；旺宝纯净葡萄糖；饴糖(淀粉及淀粉制品)；淀粉糖；纯净葡萄糖；纯净葡萄糖(分装)；旺宝多维葡萄糖,10
其他/待复核,冷冻饮品,雪泥,9,1,冷冻饮品-->雪泥,冰工厂炫菠萝雪泥；脆酸奶(发酵酸奶味雪泥)；芒果口味雪泥；海盐柠檬口味雪泥；冰工厂冰芒四射-雪泥；新疆哈密瓜雪泥；电解质葡萄口味雪泥；脆瓜子雪泥,9
其他/待复核,冷冻饮品,甜味冰,7,1,冷冻饮品-->甜味冰,0蔗糖老冰棍(奶味甜味冰)；蓝莓酸奶口味棒冰；绿豆冰沙；雪莲(柠檬味甜味冰)(冷冻饮品)；雪莲(柠檬味甜味冰)；冰工厂清爽蓝莓棒冰；可乐冰球（可乐口味甜味冰）,7
其他/待复核,化妆品,普通护肤类,7,1,化妆品-->普通护肤类,安珂羽思桂花净痘液；玺丝柔补水保湿丝滑海藻面膜；TWG绿茶冰肌清洁泥膜；百诗凯小颗粒海藻王面膜；纯肤翠海藻牛奶润泽面膜；格兰爱苦参碱清肤精华液；WORLD MASK KIND草本靓肤面膜粉,7
其他/待复核,化妆品,染发类,3,1,化妆品-->染发类,康妆染发膏（咖啡色）；圣依莉染发膏（自然黑色）；天科染发膏（自然黑）,3
其他/待复核,罐头食品,其他罐头,2,1,罐头食品-->其他罐头,腊肉糯米饭；即食燕窝（其他罐头）,2
其他/待复核,冷冻饮品,食用冰,1,1,冷冻饮品-->食用冰,食用冰,1
其他/待复核,化妆品,烫发类,1,1,化妆品-->烫发类,天之鸿烫发水,1
其他/待复核,牙膏,牙膏,1,1,牙膏-->牙膏,韩伦美羽烟酰胺炫白牙膏,1
坚果和籽类,加工坚果与籽类,按原始坚果籽类细类,1442,1,坚果和籽类-->加工坚果与籽类,白味瓜子；白花生米；黑芝麻；红皮花生仁；蒜香花生；紫衣腰果（二级）；东北小花生；海盐花生,0
坚果和籽类,新鲜坚果与籽类,按原始坚果籽类细类,421,1,坚果和籽类-->新鲜坚果与籽类,黑芝麻；花生米；核桃仁；大麻子核桃；生干籽类（花生米）；生干籽类（生花生米）；生干籽类（白芝麻）；精选黑芝麻,0
方便食品,调味面制品,按原始方便食品细类,635,1,方便食品-->调味面制品,打狗棒（调味面制品）；周扒皮（调味面制品）；红烧排骨味(调味面制品)；印度飞饼（调味面制品）；素棒棒鸡(调味面制品)；老妈牛肉粒(香辣味)(调味面制品)；花椒鸡味(调味面制品)；酒鬼渣渣面（调味面制品）,0
方便食品,其他方便食品,按原始方便食品细类,195,1,方便食品-->其他方便食品,原味豆浆粉；燕麦片；纯藕粉；桂花藕粉；手磨纯香黑芝麻糊(调和芝麻糊)；米小福卤肉(方便菜肴)；有机黑五宝粉(方便食品)；快餐玉米粉(Ⅱ类),0
方便食品,方便面,按原始方便食品细类,116,1,方便食品-->方便面,统一红烧牛肉面；筠连水粉魏四芗鲜(酸辣味)(方便粉丝)；富凯螺蛳粉；四川绵阳米粉(方便米粉)；珍珠酸辣粉；酸辣粉；昌凌手工酸辣粉；光友全薯粉丝(酸辣粉),0
水产及水产制品,生鲜、冷冻水产品,按原始水产细类,3993,1,水产及其制品-->生鲜、冷冻水产品,泥鳅；牛蛙；牛蛙（其他水产品）；草鱼；菜蛙；白鲢鱼；花鲢鱼；美蛙（鲜活其他水产品）,0
水产及水产制品,水产制品,按原始水产细类,143,1,水产及其制品-->水产制品,乌鱼；紫菜；鲜香味凉拌海带丝；凉拌海带丝（鲜香味）；麻辣海带丝(调味海藻制品)；香辣海带丝(熟制水产品)；田趣暖心紫菜；永辉优选馋大狮原味鱿鱼丝,0
水产及水产制品,干制水产品,按原始水产细类,124,1,水产及其制品-->干制水产品,风干鲤鱼(盐渍鱼)；麻辣鳅鱼干；干海带；干海带丝；干海带（藻类干制品）；长海带；海十三紫菜；干海带头,0
水果及水果制品,鲜食水果,仁果类,2407,6,水果及其制品-->苹果；水果及其制品-->梨；水果及其制品-->果酱；水果及其制品-->枣；水果及其制品-->香蕉；水果及其制品-->芒果,糖心苹果；套袋红富士M(苹果)；昭通野苹果；精品红富士(苹果)；洛川苹果；新红星苹果；盐源糖心苹果；盐源苹果（精品）,0
水果及水果制品,鲜食水果,热带/亚热带水果,2098,6,水果及其制品-->香蕉；水果及其制品-->芒果；水果及其制品-->火龙果；水果及其制品-->荔枝；水果及其制品-->菠萝；水果及其制品-->龙眼,香蕉；国产香蕉；海南香蕉；云南香蕉；皇帝蕉；香蕉T；佳农香蕉；芒果,0
水果及水果制品,水果制品,蜜饯/果干/加工水果,1066,3,水果及其制品-->蜜饯；水果及其制品-->水果干；水果及其制品-->其他水果制品,情人梅；李梅(蜜饯)；乌梅；酸奶梅；半边梅；旺梅(蜜饯)；散装梅子；酸奶梅(蜜饯),0
水果及水果制品,鲜食水果,柑橘类,1015,6,水果及其制品-->柑；水果及其制品-->橘；水果及其制品-->橙；水果及其制品-->柠檬；水果及其制品-->果酱；水果及其制品-->柚,皇帝柑；爱媛（橘子）；沙糖桔；椪柑；砂糖橘；蜜橘；冰糖橙；柠檬,0
水果及水果制品,鲜食水果,核果类,494,6,水果及其制品-->猕猴桃；水果及其制品-->枣；水果及其制品-->果酱；水果及其制品-->桃；水果及其制品-->樱桃；水果及其制品-->李子,猕猴桃；即食翠香猕猴桃；冬枣；猕猴桃果酱；水蜜桃果溶(果味酱)；绿心猕猴桃；黄心猕猴桃；国产阳光金果猕猴桃,0
水果及水果制品,鲜食水果,浆果/葡萄类,424,5,水果及其制品-->葡萄；水果及其制品-->草莓；水果及其制品-->其他类；水果及其制品-->蓝莓；水果及其制品-->果酱,果肉水晶冻(葡萄味)；巧克力草莓中果；草莓；奶油草莓；巧克力草莓；一级巧克力草莓；巧克力味草莓；葡萄,0
水果及水果制品,鲜食水果,瓜果类,138,3,水果及其制品-->西瓜；水果及其制品-->哈密瓜；水果及其制品-->甜瓜,西瓜；哈密瓜；口口脆西瓜；麒麟西瓜；白兰瓜；玉脆瓜；小西瓜；哈密瓜（甜瓜类）,0
水果及水果制品,鲜食水果,杨梅,68,1,水果及其制品-->杨梅,杨梅；散装杨梅；高原杨梅；特级杨梅；燕山杨梅,68
水果及水果制品,鲜食水果,果酱,6,1,水果及其制品-->果酱,玫瑰果酱；蜂蜜百香果茶(果酱)；今明后什锦果酱；什果果酱；什锦果酱,6
水果及水果制品,鲜食水果,石榴,6,1,水果及其制品-->石榴,会理石榴；大田石榴；石榴；酸石榴,6
水果及水果制品,鲜食水果,其他类,5,1,水果及其制品-->其他类,鲜果；虎皮黄粑；金香角橄榄；二梭子橄榄；大梭子橄榄,5
水果及水果制品,鲜食水果,枇杷,2,1,水果及其制品-->枇杷,枇杷,2
水果及水果制品,鲜食水果,山楂,1,1,水果及其制品-->山楂,本色山楂,1
淀粉及淀粉制品,淀粉制品,按原始淀粉细类,1568,1,淀粉及淀粉制品-->淀粉制品,粉条；火锅粉条；红薯粉条；宽粉条；白粉丝；米粉丝(自制)；米粉丝；粉条(餐饮自制),0
淀粉及淀粉制品,淀粉,按原始淀粉细类,134,1,淀粉及淀粉制品-->淀粉,嫩肉专用淀粉；雪花生粉（食用淀粉分装）；水磨淀粉（淀粉）（分装）；粗粮豌豆淀粉；红薯淀粉；澄面(食用小麦淀粉分装)；纯红薯淀粉；木薯淀粉,0
焙烤食品,糕点,按原始焙烤细类,2837,1,焙烤食品-->糕点,红糖黄粑；杜浔酥糖；国宇枣糕；三角糕峰蛋糕（肉松味）；无蔗糖糕点（提子味）；益生菌沙琪玛（蜜柚味）；益生菌沙琪玛（圣女果味）；三角糕峰蛋糕（日式抹茶味）,0
焙烤食品,饼干,按原始焙烤细类,563,1,焙烤食品-->饼干,木糖醇鲜葱苏打饼干；木糖醇奇亚籽苏打饼干；肉松脆饼-咸味饼干（普通型韧性饼干）；梳打饼干；无加蔗糖咸饼干（香葱味）；燕麦味饼干；山楂味饼干；红枣味饼干,0
焙烤食品,面包,按原始焙烤细类,251,1,焙烤食品-->面包,面包糠(非即食类)(其他谷物粉类制成品)；岩烧夹心吐司面包；肉松夹心吐司面包；老酸奶吐司面包（酸奶味）；奇亚籽全麦奈撕黄油面包；丹麦海盐芝士面包；岩烧吐司；无添加蔗糖全麦吐司面包,0
特殊膳食食品,婴幼儿配方食品,按原始特殊膳食细类,280,1,特殊膳食食品-->婴幼儿配方食品,"金御享®好多羊幼儿配方羊乳粉(12-36月龄,3段)；金御享®好多羊较大婴儿配方羊乳粉(6-12月龄,2段)；三元®爱蓓益™幼儿配方奶粉(12-36月龄,3段)；百跃幼儿配方羊乳粉(12-36月龄,3段)；百跃纽贝能素幼儿配方羊乳粉(12-36月龄,3段)；百跃较大婴儿配方羊乳粉(6-12月龄,2段)；三元®爱诺星™幼儿配方奶粉(12-36月龄,3段)；高原之宝牦牛奶幼儿配方乳粉(12-36月龄,3段)",0
特殊膳食食品,特殊医学用途婴儿配方食品,按原始特殊膳食细类,84,1,特殊膳食食品-->特殊医学用途婴儿配方食品,肽敏舒特殊医学用途婴儿乳蛋白深度水解配方食品；优博瑞安特殊医学用途婴儿无乳糖配方食品；优博安能特殊医学用途早产/低出生体重婴儿配方食品；早启能恩®特殊医学用途早产/低出生体重婴儿配方食品；纽康特®特殊医学用途婴儿氨基酸配方食品；雀巢恩敏舒®特殊医学用途婴儿氨基酸配方食品；蔼儿舒®ALFARE®特殊医学用途婴儿乳蛋白深度水解配方食品；爱思诺赋儿嘉®特殊医学用途婴儿无乳糖配方食品,0
特殊膳食食品,婴幼儿谷物辅助食品,按原始特殊膳食细类,26,1,特殊膳食食品-->婴幼儿谷物辅助食品,有机原味营养面；有机婴幼儿营养玉米米粉(燕麦味)；有机婴幼儿营养小米米粉(玉米南瓜)；牛肉胡萝卜加锌营养米粉；纯营养加铁米粉；胡萝卜营养米粉；益生元加铁营养米粉；亨氏婴儿营养米粉,0
特殊膳食食品,婴幼儿罐装辅助食品,按原始特殊膳食细类,15,1,特殊膳食食品-->婴幼儿罐装辅助食品,苹果蓝莓果汁泥(婴幼儿罐装辅助食品)；婴幼儿果泥(苹果香蕉葡萄)；婴幼儿果泥(苹果西梅)；婴幼儿初果泥（西梅苹果蓝莓味）；有机婴幼儿果泥(蓝莓西梅苹果)；婴幼儿果泥(苹果香蕉味)(婴幼儿罐装辅助食品)；果乐乐山竹荔枝汁(婴幼儿罐装辅助；亨氏苹果西柚泥(婴幼儿罐装辅助食,0
特殊膳食食品,特殊医学用途非婴儿配方食品,按原始特殊膳食细类,11,1,特殊膳食食品-->特殊医学用途非婴儿配方食品,小佳膳®特殊医学用途全营养配方食品(香草口味)；小佰太能®特殊医学用途全营养配方食品(香草口味)；小佳膳®NUTREN®JUNIOR特殊医学用途全营养配方食品(香草口味)；雅培®全安素®特殊医学用途全营养配方食品(香草味)；小佰太能™特殊医学用途全营养配方食品(香草口味)；小佰太能特殊医学用途全营养配方食品,0
特殊膳食食品,其他特殊膳食食品,按原始特殊膳食细类,1,1,特殊膳食食品-->其他特殊膳食食品,益生菌婴幼儿专用辅食营养素撒剂,0
粮食及粮食制品,谷物原粮及初加工,大米,7070,2,粮食及其制品-->大米；粮食及其制品-->其他粮食及其制品,汉中香米；珍珠米；大米；汉中大米；大米(三江珍珠米)；东北珍珠米；莹花汉中香米；泰香米(大米),0
粮食及粮食制品,谷物粉类,小麦粉,2967,3,粮食及其制品-->小麦粉；粮食及其制品-->其他小麦粉制品；粮食及其制品-->其他粮食及其制品,多用途麦芯小麦粉；面粉(小麦粉)；小麦粉(雪花粉)；家用小麦粉（小麦粉）；家庭用小麦粉；精白小麦粉(小麦粉)；金小麦高筋原粉(小麦粉)；自发小麦粉,0
粮食及粮食制品,面制品,挂面,791,1,粮食及其制品-->挂面,太阳手擀挂面；挂面；鸡蛋挂面(花色挂面)；鸿发挂面；精制劲道挂面；精制阳春挂面；特一银丝挂面；精制挂面,0
粮食及粮食制品,米制品,大米加工制品,448,4,粮食及其制品-->大米制品；粮食及其制品-->其他粮食及其制品；粮食及其制品-->挂面；粮食及其制品-->大米,米粉(自制)；年糕片；脆皮年糕；火锅年糕；切片年糕；米粉；米块；饵块（米粉制品）,0
粮食及粮食制品,其他粮食及其制品,其他粮食及其制品,440,1,粮食及其制品-->其他粮食及其制品,太和苦荞凉面；玉米渣；椒麻鸡味魔芋面；小米；荞麦面；散玉米渣；玉米糁；军强燕麦米,440
粮食及粮食制品,面制品,其他粮食及其制品,13,1,粮食及其制品-->其他粮食及其制品,荞麦馒头；荞面馒头；玉米自发馒头粉(预拌粉)；玉米自发馒头粉（发酵面制品预拌粉）；荞麦面(生湿面制品)；馒头（自制）（南瓜馒头）；意式面条；苦荞馒头粉,0
糖果巧克力及果冻,糖果,按原始糖果细类,628,1,糖果和巧克力、可可及其制品-->糖果,旺仔牛奶糖(原味)奶糖糖果；榴莲糖；大白兔奶糖；沁芯薄荷味硬糖；榛子味咖啡糖；牛奶味至纯奶糖糖果；薄荷棍；牛皮糖,0
糖果巧克力及果冻,果冻,按原始糖果细类,400,1,糖果和巧克力、可可及其制品-->果冻,旺旺开心芝士布丁含乳果冻（甜心草莓味）；旺旺开心厚乳布丁含乳果冻（香浓曲奇味）；旺旺开心酸奶布丁含乳果冻（香草味）；吸吸果爽果汁型可吸果冻（水蜜桃味）；吸吸果爽果汁型可吸果冻（草莓味）；吸吸果爽果汁型可吸果冻（葡萄味）；吸吸乐可吸果冻（可乐汽水味）；雪绒冰淇淋布丁（樱花白桃味）,0
糖果巧克力及果冻,巧克力及巧克力制品,按原始糖果细类,70,1,糖果和巧克力、可可及其制品-->巧克力及巧克力制品,麦丽素；巧克力（代可可脂）饰花；喔喔松露形巧克力（代可可脂巧克力）；威化牛奶巧克力；威化黑巧克力；金元宝代可可脂巧克力；青梅酒味软心代可可脂巧克力制品；美鹿花生夹心巧克力,0
糖果巧克力及果冻,可可及其制品,按原始糖果细类,1,1,糖果和巧克力、可可及其制品-->可可及其制品,可可粉,0
肉及肉制品,猪肉,按原始肉类细类,2351,1,肉及肉制品-->猪肉,猪后腿肉(猪肉)；二刀后腿肉(优质)(猪肉)；粮食猪后腿肉；猪前腿肉；猪肉；猪里脊肉；优鲜猪前腿肉；粮食猪前夹(猪肉),0
肉及肉制品,酱卤肉制品,按原始肉类细类,1427,1,肉及肉制品-->酱卤肉制品,孜然牛肉；张飞风味五香牛肉；川香猪肉片；泡凤爪(山椒味)(辐照食品)；酸菜泡凤爪（辐照食品）；甜辣味鸭脖；甜辣味鸭翅；灯影牛肉(五香味),0
肉及肉制品,鸡肉,按原始肉类细类,1359,1,肉及肉制品-->鸡肉,老公鸡；品牌鸡（公）；三黄鸡（公）；跑山鸡；三黄鸡；乌鸡；茶花鸡（公）；青脚鸡,0
肉及肉制品,熏煮香肠火腿制品,按原始肉类细类,1148,1,肉及肉制品-->熏煮香肠火腿制品,蒜香烤肠（熏煮香肠）；午餐方腿（熏煮香肠）；美好火腿肠优级；川肉王火腿肠；火腿肠优级；美好优级火腿肠；优级火腿肠；双汇王中王优级火腿肠,0
肉及肉制品,腌腊肉制品,按原始肉类细类,962,1,肉及肉制品-->腌腊肉制品,酱板鸭(酱香味)(酱卤肉制品)；五花腊肉；老腊肉；柏丫土猪腊肉(腌腊肉制品)；酱板鸭（香辣味）；青峪猪腊肉；美缀美川味腊肠；广味腊肠,0
肉及肉制品,餐饮肉制品,餐饮场景肉制品,400,1,餐饮-->肉及肉制品,东北皮冻；自制皮冻；水晶皮冻；猪皮冻；皮冻；卤猪拱嘴(餐饮自制)；卤牛蹄筋(餐饮自制)；腊猪肉,0
肉及肉制品,牛肉,按原始肉类细类,392,1,肉及肉制品-->牛肉,牛肉；牛前胛肉；牛后腿肉；鲜盘肉（牛肉）；牛腩肉；鲜牛背柳肉；腱子牛肉；牛前腿肉,0
肉及肉制品,熟肉干制品,按原始肉类细类,382,1,肉及肉制品-->熟肉干制品,牛肉粒(沙嗲味)；牛肉粒（香辣味）（辐照食品）；沙嗲味猪肉脯；沙嗲味肉干；牛肉粒(五香味)(熟肉干制品)；五香牛肉干；风干牛肉(五香味)；风干牦牛肉(麻辣味),0
肉及肉制品,猪副产品,按原始肉类细类,323,1,肉及肉制品-->猪副产品,猪肝；猪心；鲜猪肝；猪腰柳；猪肾；猪舌；金汇冷鲜排酸猪肝；猪蹄,0
肉及肉制品,鸭肉,按原始肉类细类,234,1,肉及肉制品-->鸭肉,鸭肉；鸭子；花边鸭（公）；花边鸭；大白鸭；老鸭子；嫩鸭子；黄皮鸭,0
肉及肉制品,其他肉制品,按原始肉类细类,157,1,肉及肉制品-->其他肉制品,毛肚；精品毛肚；秒香毛肚；毛肚(预制调理畜禽制品)；嫩脆毛肚；爽脆鸭肠；脆脆毛肚【调理肉制品（非速冻）】；腌鸡肉,0
肉及肉制品,羊肉,按原始肉类细类,135,1,肉及肉制品-->羊肉,羊后腿肉；羊肉；羊腿肉；羊肚；羊前腿肉；冷鲜羔羊前腿肉；羔羊后腿包（羊肉）；羔羊后腿肉包A,0
肉及肉制品,鸡副产品,按原始肉类细类,120,1,肉及肉制品-->鸡副产品,鸡中翅；冻鸡中翅；鸡中翅(鸡肉)；鸡胗；鸡肉（冷冻中翅）；鸡肝；鸡心；鸡脚,0
肉及肉制品,熏烧烤肉制品,按原始肉类细类,56,1,肉及肉制品-->熏烧烤肉制品,盐焗烤腿；香烤小鸡腿(鸡翅根)(蜜汁味)；香烤鸡翅根(奥尔良味)(熏烧烤肉制品)；烤鸡腿；烤脖（黑鸭味）；烤脖（香辣味）；烟熏猪头肉；烟熏猪腿肉,0
肉及肉制品,其他畜肉,按原始肉类细类,45,1,肉及肉制品-->其他畜肉,冰鲜兔；兔肉；湘佳鲜整兔；兔子肉；鲜兔肉（其他畜肉）；鲜兔肉；鲜兔；保鲜兔,0
肉及肉制品,鸭副产品,按原始肉类细类,44,1,肉及肉制品-->鸭副产品,鸭胗；鸭肝；鸭肫；中润鲜鸭肫；鲜鸭胗；鸭郡肝；鸭肫（S）；鸭翅,0
肉及肉制品,牛副产品,按原始肉类细类,7,1,肉及肉制品-->牛副产品,牛肝；白千层肚(牛百叶)；黑毛肚,0
肉及肉制品,其他禽肉,按原始肉类细类,5,1,肉及肉制品-->其他禽肉,信鸽子；三黄鸭；鸽子；鸽子肉；鹅肉,0
肉及肉制品,生鲜、冷冻肉,按原始肉类细类,5,1,肉及肉制品-->生鲜、冷冻肉,乌鸡；杂交鸡；三黄鸡,0
茶叶及相关制品,茶叶,按原始茶叶细类,1764,1,茶叶及相关制品-->茶叶,蜀道毛尖；米仓山红茶（工夫红茶）；峨眉山毛峰·绿茶；炒青绿茶；花毛峰；早春绿茶（炒青绿茶）；绿毛峰（烘青绿茶）；春毛峰（烘青绿茶）,0
茶叶及相关制品,调味茶,按原始茶叶细类,649,1,茶叶及相关制品-->调味茶,蒙顶竹飘（茉莉花茶）；炒青茉莉花茶；茉莉花茶；新会小青柑普洱茶(新会小青柑茶)；飘雪；茉莉花茶（花毛峰）；花毛峰·茉莉花茶；花毛峰茉莉花茶,0
