原始产品分类,分类规则ID,分类触发词,新一级类,新二级类,新三级类,分类依据,是否建议人工复核,记录数,示例产品名称
肉及肉制品-->酱卤肉制品,CAT_MEAT,肉及肉制品,肉及肉制品,酱卤肉制品,按原始肉类细类,原始分类指向肉及肉制品。,否,1427,孜然牛肉；张飞风味五香牛肉；川香猪肉片；泡凤爪(山椒味)(辐照食品)；酸菜泡凤爪（辐照食品）；甜辣味鸭脖；甜辣味鸭翅；灯影牛肉(五香味)
肉及肉制品-->鸡肉,CAT_MEAT,肉及肉制品,肉及肉制品,鸡肉,按原始肉类细类,原始分类指向肉及肉制品。,否,1359,老公鸡；品牌鸡（公）；三黄鸡（公）；跑山鸡；三黄鸡；乌鸡；茶花鸡（公）；青脚鸡
豆及豆制品-->非发酵豆制品,CAT_BEAN,豆及豆制品,豆及豆制品,非发酵豆制品,按原始豆制品细类,原始分类指向豆及豆制品。,否,1329,豆干；豆皮；豆筋；香香嘴五香味豆干(非发酵豆制品)；泡椒豆干；烟熏干(豆干)；好巴食南溪豆干(麻辣味)；好巴食南溪豆干(烧烤味)
饮料-->包装饮用水,CAT_BEVERAGE,饮料,饮料,包装饮用水,按原始饮料细类,原始分类指向饮料。,否,1257,云弦大酒店饮用天然泉水；蔺郎洞饮用纯净水；白岩沙山泉饮用天然泉水；净然山泉饮用天然泉水；饮用天然泉水；碧源山泉包装饮用水；白龙池包装饮用水；芦高山(优质天然饮用水)
水果及其制品-->苹果,CAT_FRUIT,苹果,水果及水果制品,鲜食水果,仁果类,结合原始产品分类与产品名称进行水果细分；触发词：苹果。,否,1243,糖心苹果；套袋红富士M(苹果)；昭通野苹果；精品红富士(苹果)；洛川苹果；新红星苹果；盐源糖心苹果；盐源苹果（精品）
蔬菜及其制品-->姜,CAT_VEG,姜,蔬菜及蔬菜制品,鲜食蔬菜,根茎/薯芋/葱蒜类,结合原始产品分类与产品名称进行蔬菜细分；触发词：姜。,否,1235,老姜；仔姜；生姜；黄姜；泥姜；沙姜；姜；小黄姜
肉及肉制品-->熏煮香肠火腿制品,CAT_MEAT,肉及肉制品,肉及肉制品,熏煮香肠火腿制品,按原始肉类细类,原始分类指向肉及肉制品。,否,1148,蒜香烤肠（熏煮香肠）；午餐方腿（熏煮香肠）；美好火腿肠优级；川肉王火腿肠；火腿肠优级；美好优级火腿肠；优级火腿肠；双汇王中王优级火腿肠
蔬菜及其制品-->番茄,CAT_VEG,番茄,蔬菜及蔬菜制品,鲜食蔬菜,茄果类蔬菜,结合原始产品分类与产品名称进行蔬菜细分；触发词：番茄。,否,1146,番茄；西红柿；粉西红柿；普罗旺斯西红柿；西红柿（番茄）；红番茄；粉番茄；红果西红柿
蔬菜及其制品-->土豆,CAT_VEG,土豆,蔬菜及蔬菜制品,鲜食蔬菜,根茎/薯芋/葱蒜类,结合原始产品分类与产品名称进行蔬菜细分；触发词：土豆。,否,1135,土豆；新鲜土豆；马铃薯；土豆（马铃薯）；新土豆；红皮土豆；黄皮土豆；白土豆
水果及其制品-->梨,CAT_FRUIT,梨,水果及水果制品,鲜食水果,仁果类,结合原始产品分类与产品名称进行水果细分；触发词：梨。,否,1044,水晶梨；皇冠梨；精品丰水梨；梨；贡梨；雪梨；红香酥梨；特级香梨
肉及肉制品-->腌腊肉制品,CAT_MEAT,肉及肉制品,肉及肉制品,腌腊肉制品,按原始肉类细类,原始分类指向肉及肉制品。,否,962,酱板鸭(酱香味)(酱卤肉制品)；五花腊肉；老腊肉；柏丫土猪腊肉(腌腊肉制品)；酱板鸭（香辣味）；青峪猪腊肉；美缀美川味腊肠；广味腊肠
蔬菜及其制品-->茄子,CAT_VEG,茄子,蔬菜及蔬菜制品,鲜食蔬菜,茄果类蔬菜,结合原始产品分类与产品名称进行蔬菜细分；触发词：茄子。,否,912,茄子；本地茄子；精品茄子；红茄子；长茄子；亮茄(茄子)；亮茄；墨茄
水果及其制品-->蜜饯,CAT_FRUIT,加工水果词,水果及水果制品,水果制品,蜜饯/果干/加工水果,结合原始产品分类与产品名称进行水果细分；触发词：加工水果词。,否,878,情人梅；李梅(蜜饯)；乌梅；酸奶梅；半边梅；旺梅(蜜饯)；散装梅子；酸奶梅(蜜饯)
粮食及其制品-->其他小麦粉制品,CAT_GRAIN_FLOUR,小麦粉,粮食及粮食制品,谷物粉类,小麦粉,产品名称/原始分类指向小麦粉。,否,810,白馒头；饺子皮；抄手皮；小馒头(自制)；葱油花卷；老面馒头；酱肉包子(自制)；细水面(生湿面制品)
蔬菜及其制品-->芹菜,CAT_VEG,芹菜,蔬菜及蔬菜制品,鲜食蔬菜,叶菜类,结合原始产品分类与产品名称进行蔬菜细分；触发词：芹菜。,否,800,芹菜；白芹；白芹菜；西芹；青芹；本地芹菜；西芹菜；大芹菜
粮食及其制品-->挂面,CAT_GRAIN_WHEAT_PRODUCT,面制品,粮食及粮食制品,面制品,挂面,产品名称/原始分类指向面制品。,否,791,太阳手擀挂面；挂面；鸡蛋挂面(花色挂面)；鸿发挂面；精制劲道挂面；精制阳春挂面；特一银丝挂面；精制挂面
餐饮-->复合调味料,CAT_CATERING_SEASONING,复合调味料,调味品,复合调味料,餐饮用复合调味料,原始分类为餐饮场景，但产品语义为调味料。,否,747,火锅底料（餐饮自制）；自制底料；自制火锅底料；自制蘸料；火锅底料（自制）；自制老干妈酱；自制烧椒酱；自制香菇酱
餐饮-->饮品,CAT_CATERING_DRINK,饮品,饮料,餐饮现制饮品,餐饮饮品,原始分类为餐饮饮品；按饮料语义归并并保留餐饮场景。,否,742,枸杞大枣酒；枸杞酒；拐枣酒；杨梅酒；壮阳酒；美容酒；除湿酒；养生酒
调味品-->香辛料调味品,CAT_SEASONING,调味品,调味品,香辛料调味品,按原始调味品细类,原始分类指向调味品。,否,731,三奈（其他香辛料调味品）；干花椒；八角粉；青花椒；油泼辣子(三星特辣)；青花椒油；八角；花椒油
餐饮-->餐饮具,CAT_CATERING_WARE,餐饮具,餐饮相关,餐饮具/食品接触类,餐饮具,原始分类明确为餐饮具，不作为普通食品重分类。,否,674,碗（复用餐饮具）；碟（复用餐饮具）；筷子（复用餐饮具）；酒杯（复用餐饮具）；汤碗（复用餐饮具）；碟(复用餐饮具)；碗(复用餐饮具)；茶杯（复用餐饮具）
茶叶及相关制品-->调味茶,CAT_TEA,茶叶及相关制品,茶叶及相关制品,调味茶,按原始茶叶细类,原始分类指向茶叶及相关制品。,否,649,蒙顶竹飘（茉莉花茶）；炒青茉莉花茶；茉莉花茶；新会小青柑普洱茶(新会小青柑茶)；飘雪；茉莉花茶（花毛峰）；花毛峰·茉莉花茶；花毛峰茉莉花茶
方便食品-->调味面制品,CAT_CONVENIENCE,方便食品,方便食品,调味面制品,按原始方便食品细类,原始分类指向方便食品。,否,635,打狗棒（调味面制品）；周扒皮（调味面制品）；红烧排骨味(调味面制品)；印度飞饼（调味面制品）；素棒棒鸡(调味面制品)；老妈牛肉粒(香辣味)(调味面制品)；花椒鸡味(调味面制品)；酒鬼渣渣面（调味面制品）
糖果和巧克力、可可及其制品-->糖果,CAT_CANDY,糖果和巧克力、可可及其制品,糖果巧克力及果冻,糖果,按原始糖果细类,原始分类指向糖果、巧克力、可可或果冻。,否,628,旺仔牛奶糖(原味)奶糖糖果；榴莲糖；大白兔奶糖；沁芯薄荷味硬糖；榛子味咖啡糖；牛奶味至纯奶糖糖果；薄荷棍；牛皮糖
蔬菜及其制品-->韭菜,CAT_VEG,韭菜,蔬菜及蔬菜制品,鲜食蔬菜,叶菜类,结合原始产品分类与产品名称进行蔬菜细分；触发词：韭菜。,否,611,韭菜；大韭菜；小韭菜；长韭菜；青韭菜；白韭菜；毛韭菜；芸岭鲜生有机蔬菜韭菜
酒类-->其他酒类,CAT_ALCOHOL,酒类,酒类,其他酒类,按原始酒类细类,原始分类指向酒类。,否,586,3号散装调香白酒(配制酒)；醪糟；梅子酒(露酒)；桑葚酒(露酒)；土窖酒（配制酒）；梅乚青梅酒(配制酒)；秋葵酒(其他蒸馏酒)；醪糟(米酒、甜酒酿)
餐饮-->其他餐饮环节产品,CAT_CATERING_OTHER,其他餐饮环节产品,餐饮食品,其他餐饮环节产品,其他餐饮食品,原始分类为餐饮；产品名称未提供足够证据脱离餐饮场景。,是,567,豆花(自制)；自制豆花；豆皮(餐饮自制)；油炸花生米(餐饮自制)；油炸花生米；卤花生；五香味花生；炒小花生
焙烤食品-->饼干,CAT_BAKERY,焙烤食品,焙烤食品,饼干,按原始焙烤细类,原始分类指向焙烤食品。,否,563,木糖醇鲜葱苏打饼干；木糖醇奇亚籽苏打饼干；肉松脆饼-咸味饼干（普通型韧性饼干）；梳打饼干；无加蔗糖咸饼干（香葱味）；燕麦味饼干；山楂味饼干；红枣味饼干
薯类及膨化食品-->膨化食品,CAT_PUFFED,薯类及膨化食品,薯类及膨化食品,膨化食品,按原始薯类/膨化细类,原始分类指向薯类及膨化食品。,否,556,龙虾拉面（油炸型膨化食品）；牛羊配膨化食品；印第安奶油味爆米花；皇家礼爆爆米花（奶油味）；艾比利薯片(膨化食品)；小米锅巴（牛肉味）；台湾风味黑米酥（挤压型膨化食品）；美派农场爆米花
调味品-->酱油,CAT_SEASONING,调味品,调味品,酱油,按原始调味品细类,原始分类指向调味品。,否,535,酿造酱油（黄豆酱油）；黄豆酱油；千禾黄豆酱油；生抽豉油（酿造酱油）；锦珍生抽（酿造酱油）；蒸鱼豉油(酿造酱油)；味极鲜(酿造酱油)；薄盐味极鲜(特级酿造酱油)
蔬菜及其制品-->豇豆,CAT_VEG,豇豆,蔬菜及蔬菜制品,鲜食蔬菜,豆类蔬菜,结合原始产品分类与产品名称进行蔬菜细分；触发词：豇豆。,否,509,本地豇豆；豇豆；无筋豆(豇豆)；无筋豆；通江嫩豇豆；青豇豆；白豇豆；豇豆（青豇豆）
保健食品-->片剂,CAT_HEALTH,保健食品,保健食品,片剂,按原始剂型,原始分类指向保健食品。,否,502,嘉力康牌维生素C咀嚼片(蓝莓味)；金奥力牌多种维生素矿物质片；鸿洋神牌氨基葡萄糖硫酸软骨素钙片；美澳健®维生素C咀嚼片(甜橙味)；威士雅Assi®维生素C咀嚼片(香橙味)；鸿洋神牌钙维生素D维生素K咀嚼片；威士雅®维生素C咀嚼片(百香果味)；威士雅Assi®维生素C咀嚼片(柠檬味)
豆及豆制品-->发酵豆制品,CAT_BEAN,豆及豆制品,豆及豆制品,发酵豆制品,按原始豆制品细类,原始分类指向豆及豆制品。,否,489,红油腐乳；白味腐乳；桥牌白味腐乳；家乡豆豉；太和豆豉；麻辣豆腐乳；五香豆豉(豆豉)；香辣腐乳
水果及其制品-->柑,CAT_FRUIT,柑,水果及水果制品,鲜食水果,柑橘类,结合原始产品分类与产品名称进行水果细分；触发词：柑。,否,488,皇帝柑；椪柑；精选椪柑；宾川碰柑；耙耙柑；沃柑；云南碰柑；柑橘（椪柑）
速冻面米与调制食品-->速冻面米食品,CAT_FROZEN,速冻面米与调制食品,速冻食品,速冻面米食品,按原始速冻细类,原始分类指向速冻面米与调制食品。,否,469,黑芝麻汤圆；白糯米小圆子；三全凌汤圆【黑芝麻】；三全凌汤圆黑芝麻＋红糖；花生汤圆；黑糯黑芝麻汤圆；芝麻汤圆；鲜肉水饺
调味品-->食醋,CAT_SEASONING,调味品,调味品,食醋,按原始调味品细类,原始分类指向调味品。,否,466,食醋；窝子食醋（酿造食醋）；千禾醋；精酿山西陈醋（酿造食醋）；6°手工老陈醋（食醋）；镇江陈醋；保宁凉拌醋；白醋（酿造食醋）
粮食及其制品-->其他粮食及其制品,CAT_GRAIN_OTHER,原始粮食分类,粮食及粮食制品,其他粮食及其制品,其他粮食及其制品,保留原始粮食分类语义。,是,440,太和苦荞凉面；玉米渣；椒麻鸡味魔芋面；小米；荞麦面；散玉米渣；玉米糁；军强燕麦米
蛋及蛋制品-->再制蛋,CAT_EGG,蛋及蛋制品,蛋及蛋制品,再制蛋,按原始蛋类细类,原始分类指向蛋及蛋制品。,否,434,皮蛋；咸鸭蛋；盐焗味爆汁鹌鹑蛋；五香油沙盐蛋；杜智华鹌鹑皮蛋；包蛋；包盐蛋；鹌鹑蛋
坚果和籽类-->新鲜坚果与籽类,CAT_NUT_SEED,坚果和籽类,坚果和籽类,新鲜坚果与籽类,按原始坚果籽类细类,原始分类指向坚果和籽类。,否,421,黑芝麻；花生米；核桃仁；大麻子核桃；生干籽类（花生米）；生干籽类（生花生米）；生干籽类（白芝麻）；精选黑芝麻
蔬菜及其制品-->豆芽,CAT_VEG,豆芽,蔬菜及蔬菜制品,鲜食蔬菜,芽苗类蔬菜,结合原始产品分类与产品名称进行蔬菜细分；触发词：豆芽。,否,417,绿豆芽；黄豆芽；豆芽；短豆芽；豆芽（黄豆芽）；豆芽（绿豆芽）；大黄豆芽；小黄豆芽
蔬菜及其制品-->食用菌制品,CAT_VEG,食用菌,蔬菜及蔬菜制品,食用菌,食用菌及其制品,结合原始产品分类与产品名称进行蔬菜细分；触发词：食用菌。,否,402,干羊肚菌；古田香菇；单片黑木耳；散茶树菇；干茶树菇；干香菇；银耳；杏鲍菇(香辣味)
糖果和巧克力、可可及其制品-->果冻,CAT_CANDY,糖果和巧克力、可可及其制品,糖果巧克力及果冻,果冻,按原始糖果细类,原始分类指向糖果、巧克力、可可或果冻。,否,400,旺旺开心芝士布丁含乳果冻（甜心草莓味）；旺旺开心厚乳布丁含乳果冻（香浓曲奇味）；旺旺开心酸奶布丁含乳果冻（香草味）；吸吸果爽果汁型可吸果冻（水蜜桃味）；吸吸果爽果汁型可吸果冻（草莓味）；吸吸果爽果汁型可吸果冻（葡萄味）；吸吸乐可吸果冻（可乐汽水味）；雪绒冰淇淋布丁（樱花白桃味）
餐饮-->肉及肉制品,CAT_CATERING_MEAT,肉及肉制品,肉及肉制品,餐饮肉制品,餐饮场景肉制品,原始分类为餐饮场景，但产品语义为肉及肉制品。,否,400,东北皮冻；自制皮冻；水晶皮冻；猪皮冻；皮冻；卤猪拱嘴(餐饮自制)；卤牛蹄筋(餐饮自制)；腊猪肉
肉及肉制品-->牛肉,CAT_MEAT,肉及肉制品,肉及肉制品,牛肉,按原始肉类细类,原始分类指向肉及肉制品。,否,392,牛肉；牛前胛肉；牛后腿肉；鲜盘肉（牛肉）；牛腩肉；鲜牛背柳肉；腱子牛肉；牛前腿肉
肉及肉制品-->熟肉干制品,CAT_MEAT,肉及肉制品,肉及肉制品,熟肉干制品,按原始肉类细类,原始分类指向肉及肉制品。,否,382,牛肉粒(沙嗲味)；牛肉粒（香辣味）（辐照食品）；沙嗲味猪肉脯；沙嗲味肉干；牛肉粒(五香味)(熟肉干制品)；五香牛肉干；风干牛肉(五香味)；风干牦牛肉(麻辣味)
蔬菜及其制品-->白菜,CAT_VEG,白菜,蔬菜及蔬菜制品,鲜食蔬菜,叶菜类,结合原始产品分类与产品名称进行蔬菜细分；触发词：白菜。,否,380,大白菜；吉选鲜大白菜；瓢儿白菜；白菜秧；放心杭白菜；白菜；普通白菜（白菜秧）；普通白菜(白菜秧)
粮食及其制品-->大米制品,CAT_GRAIN_RICE_PRODUCT,米制品,粮食及粮食制品,米制品,大米加工制品,产品名称/原始分类指向大米加工制品。,否,379,米粉(自制)；年糕片；脆皮年糕；火锅年糕；切片年糕；米粉；米块；饵块（米粉制品）
餐饮-->餐饮用油,CAT_CATERING_OIL,餐饮用油,食用油、油脂及其制品,食用植物油,餐饮用油,原始分类为餐饮用油；按食品语义归入食用油并保留餐饮场景。,否,379,煎炸过程用油；煎炸油；煎炸用油；炸油条用油；炸鸡排油(煎炸过程用油)；煎炸过程油(自制)；煎炸过程油；煎炸过程用油(大豆油)
蔬菜及其制品-->白菜,CAT_VEG,小白菜,蔬菜及蔬菜制品,鲜食蔬菜,叶菜类,结合原始产品分类与产品名称进行蔬菜细分；触发词：小白菜。,否,368,小白菜；普通白菜(小白菜)；小白菜(普通白菜)；普通白菜（小白菜秧）；普通白菜（小白菜）；小黄白(小白菜)；小白菜秧（普通白菜）；小白菜（普通白菜）
饮料-->蛋白饮料,CAT_BEVERAGE,饮料,饮料,蛋白饮料,按原始饮料细类,原始分类指向饮料。,否,343,花生核桃植物蛋白饮料；低糖燕麦牛乳(复合蛋白饮品)；乳酸菌饮品(原味)；养生核桃(复合蛋白饮品)(无糖型)；椰柔生榨椰汁(植物蛋白饮料)；索菲亚雪泥瓶(乳酸菌口味雪泥)；椰汁植物蛋白饮料；果肉椰子汁(椰汁风味饮料)
调味品-->鸡精,CAT_SEASONING,调味品,调味品,鸡精,按原始调味品细类,原始分类指向调味品。,否,335,鸡精调味料；乐江鸡精(鸡精调味料)；豪吉鸡精调味料；豪吉鸡精；豪吉鸡精（鸡精调味料）；天天旺鸡精调味料；薄盐劲鲜鸡精调味料；名府鸡精(调味料)
肉及肉制品-->猪副产品,CAT_MEAT,肉及肉制品,肉及肉制品,猪副产品,按原始肉类细类,原始分类指向肉及肉制品。,否,323,猪肝；猪心；鲜猪肝；猪腰柳；猪肾；猪舌；金汇冷鲜排酸猪肝；猪蹄
蔬菜及其制品-->黄瓜,CAT_VEG,黄瓜,蔬菜及蔬菜制品,鲜食蔬菜,瓜类蔬菜,结合原始产品分类与产品名称进行蔬菜细分；触发词：黄瓜。,否,316,黄瓜；长菜黄瓜；青黄瓜；本地黄瓜；黄瓜（本地黄瓜）；黄瓜(本地黄瓜)；大刺黄瓜；精品青黄瓜
水果及其制品-->葡萄,CAT_FRUIT,葡萄,水果及水果制品,鲜食水果,浆果/葡萄类,结合原始产品分类与产品名称进行水果细分；触发词：葡萄。,否,304,果肉水晶冻(葡萄味)；葡萄；夏黑葡萄；葡萄（精品葡萄）；葡萄（黑蜜葡萄）；葡萄（黑玫瑰）；葡萄（蓝莓葡萄）；茉莉香小葡萄
蔬菜及其制品-->油麦菜,CAT_VEG,油麦菜,蔬菜及蔬菜制品,鲜食蔬菜,叶菜类,结合原始产品分类与产品名称进行蔬菜细分；触发词：油麦菜。,否,300,油麦菜；放心油麦菜；油麦菜(散装)；油麦(油麦菜)；油麦
水果及其制品-->芒果,CAT_FRUIT,芒果,水果及水果制品,鲜食水果,热带/亚热带水果,结合原始产品分类与产品名称进行水果细分；触发词：芒果。,否,298,芒果；水仙芒果；小台农芒果；芒果（贵妃香芒）；芒果（贵妃芒）；贵妃芒果；小台芒；小台芒果
保健食品-->胶囊剂,CAT_HEALTH,保健食品,保健食品,胶囊剂,按原始剂型,原始分类指向保健食品。,否,291,天美健牌蜂胶软胶囊；美林康牌左旋肉碱绿茶胶囊；威华牌百合貝母胶囊；佳汇泰牌红景天胶囊；美澳健®钙维生素D维生素K软胶囊；柏客健牌氨基葡萄糖硫酸软骨素胶囊；美澳健®维生素E软胶囊；美澳健®鱼油软胶囊
蜂产品-->蜂蜜,CAT_HONEY,蜂产品,蜂产品,蜂蜜,按原始蜂产品细类,原始分类指向蜂产品。,否,286,蜂蜜花生糖；洋槐蜂蜜；土蜂蜜；紫云英蜂蜜；蜂蜜；大山老槽蜂蜜(平武蜂蜜)；龙苍沟土蜂蜜；巴山春蜜
特殊膳食食品-->婴幼儿配方食品,CAT_SPECIAL_DIET,特殊膳食食品,特殊膳食食品,婴幼儿配方食品,按原始特殊膳食细类,原始分类指向特殊膳食食品。,否,280,"金御享®好多羊幼儿配方羊乳粉(12-36月龄,3段)；金御享®好多羊较大婴儿配方羊乳粉(6-12月龄,2段)；三元®爱蓓益™幼儿配方奶粉(12-36月龄,3段)；百跃幼儿配方羊乳粉(12-36月龄,3段)；百跃纽贝能素幼儿配方羊乳粉(12-36月龄,3段)；百跃较大婴儿配方羊乳粉(6-12月龄,2段)；三元®爱诺星™幼儿配方奶粉(12-36月龄,3段)；高原之宝牦牛奶幼儿配方乳粉(12-36月龄,3段)"
蔬菜及其制品-->菠菜,CAT_VEG,菠菜,蔬菜及蔬菜制品,鲜食蔬菜,叶菜类,结合原始产品分类与产品名称进行蔬菜细分；触发词：菠菜。,否,275,菠菜；【高山鲜】云南高原小菠菜；大菠菜；云南菠菜；芸岭生鲜有机菠菜250g；朴小鲜菠菜
调味品-->香辛料调味品,CAT_VEG,辣椒,蔬菜及蔬菜制品,鲜食蔬菜,茄果类蔬菜,结合原始产品分类与产品名称进行蔬菜细分；触发词：辣椒。,否,271,干辣椒；细辣椒面；新一代辣椒面；二荆条辣椒面；辣椒面（香辣）；新一代干辣椒段；辣椒粉；辣椒面
调味品-->盐及代盐制品,CAT_SEASONING,调味品,调味品,盐及代盐制品,按原始调味品细类,原始分类指向调味品。,否,268,泡菜盐；深井钙盐（加碘）；天然钙盐(加碘食用盐)；加碘食用盐；绿色食品食用盐；低钠盐(加碘)；雪花盐加碘精制盐；精纯食用盐
餐饮-->蔬菜,CAT_CATERING_VEG,泡菜,蔬菜及蔬菜制品,蔬菜制品,酱腌菜/腌渍蔬菜（餐饮场景）,原始分类为餐饮-->蔬菜；产品名称支持蔬菜细分，保留餐饮场景 traceability。触发词：泡菜。,否,264,自制泡菜；泡菜；泡菜（自制）；泡菜(自制)；洗澡泡菜；跳水泡菜；开胃泡菜
蔬菜及其制品-->油菜,CAT_VEG,油菜,蔬菜及蔬菜制品,鲜食蔬菜,叶菜类,结合原始产品分类与产品名称进行蔬菜细分；触发词：油菜。,否,262,上海青；小白菜；上海青(普通白菜)；瓢儿白；瓢儿白(普通白菜)；云南瓢儿白；普通白菜（上海青）；普通白菜(上海青)
