文件路径,文件名,文件类型,所属模块,所属任务,是否原始数据,是否canonical_latest,是否历史归档,是否下游依赖,修改日期,文件大小,简要说明
data/04_feature/peanut_belief_mdp_state_features_with_moe_edi.csv,peanut_belief_mdp_state_features_with_moe_edi.csv,table,数据产物,,False,True,False,True,2026-04-24T21:32:10,3070125,加入 MOE/EDI 的 belief-MDP 状态特征
data/04_feature/peanut_beta_binomial_belief_states.csv,peanut_beta_binomial_belief_states.csv,table,数据产物,,False,True,False,True,2026-04-24T20:48:43,2366094,Beta-Binomial belief state 表
data/04_feature/peanut_bmdl_parameter_config.json,peanut_bmdl_parameter_config.json,config_or_json,数据产物,,False,True,False,True,2026-04-24T21:32:08,1866,workspace artifact
data/04_feature/peanut_bmdl_parameter_table.csv,peanut_bmdl_parameter_table.csv,table,数据产物,,False,True,False,True,2026-04-24T21:32:08,657,workspace artifact
data/04_feature/peanut_concentration_clean_table.csv,peanut_concentration_clean_table.csv,table,数据产物,,False,True,False,True,2026-04-24T20:48:43,640824,AFB1 浓度清洗 canonical 表
data/04_feature/peanut_concentration_distribution_summary.csv,peanut_concentration_distribution_summary.csv,table,数据产物,,False,True,False,True,2026-04-24T20:48:43,24831,workspace artifact
data/04_feature/peanut_consumption_parameter_table.csv,peanut_consumption_parameter_table.csv,table,数据产物,,False,True,False,True,2026-04-24T21:32:08,51023,workspace artifact
data/04_feature/peanut_count_panel.csv,peanut_count_panel.csv,table,数据产物,,False,True,False,True,2026-04-24T20:48:43,113789,省份-年月-环节计数面板
data/04_feature/peanut_edi_moe_risk_summary.csv,peanut_edi_moe_risk_summary.csv,table,数据产物,,False,True,False,True,2026-04-24T21:32:08,40648,workspace artifact
data/04_feature/peanut_edi_moe_risk_table.csv,peanut_edi_moe_risk_table.csv,table,数据产物,,False,True,False,True,2026-04-24T21:32:08,276390,EDI/MOE 风险明细
data/04_feature/peanut_population_parameter_table.csv,peanut_population_parameter_table.csv,table,数据产物,,False,True,False,True,2026-04-24T21:32:08,45484,workspace artifact
outputs/20260424_MOE_EDI外部参数匹配与风险度量准备/README.md,README.md,markdown,任务输出/索引,20260424_MOE_EDI外部参数匹配与风险度量准备,False,False,True,False,2026-04-24T21:32:10,2096,workspace artifact
outputs/20260424_MOE_EDI外部参数匹配与风险度量准备/configs/peanut_bmdl_parameter_config.json,peanut_bmdl_parameter_config.json,config_or_json,任务输出/索引,20260424_MOE_EDI外部参数匹配与风险度量准备,False,True,True,True,2026-04-24T21:32:08,1866,workspace artifact
outputs/20260424_MOE_EDI外部参数匹配与风险度量准备/data/peanut_belief_mdp_state_features_with_moe_edi.csv,peanut_belief_mdp_state_features_with_moe_edi.csv,table,任务输出/索引,20260424_MOE_EDI外部参数匹配与风险度量准备,False,True,True,True,2026-04-24T21:32:10,3070125,加入 MOE/EDI 的 belief-MDP 状态特征
outputs/20260424_MOE_EDI外部参数匹配与风险度量准备/data/peanut_edi_moe_risk_table.csv,peanut_edi_moe_risk_table.csv,table,任务输出/索引,20260424_MOE_EDI外部参数匹配与风险度量准备,False,True,True,True,2026-04-24T21:32:08,276390,EDI/MOE 风险明细
outputs/20260424_MOE_EDI外部参数匹配与风险度量准备/figures/consumption_parameter_distribution.svg,consumption_parameter_distribution.svg,figure,任务输出/索引,20260424_MOE_EDI外部参数匹配与风险度量准备,False,False,True,False,2026-04-24T21:32:10,7211,workspace artifact
outputs/20260424_MOE_EDI外部参数匹配与风险度量准备/figures/edi_distribution.svg,edi_distribution.svg,figure,任务输出/索引,20260424_MOE_EDI外部参数匹配与风险度量准备,False,False,True,False,2026-04-24T21:32:10,5745,workspace artifact
outputs/20260424_MOE_EDI外部参数匹配与风险度量准备/figures/moe_distribution_log10.svg,moe_distribution_log10.svg,figure,任务输出/索引,20260424_MOE_EDI外部参数匹配与风险度量准备,False,False,True,False,2026-04-24T21:32:10,5821,workspace artifact
outputs/20260424_MOE_EDI外部参数匹配与风险度量准备/figures/moe_risk_level_distribution.svg,moe_risk_level_distribution.svg,figure,任务输出/索引,20260424_MOE_EDI外部参数匹配与风险度量准备,False,False,True,False,2026-04-24T21:32:10,1288,workspace artifact
outputs/20260424_MOE_EDI外部参数匹配与风险度量准备/figures/population_matching_status.svg,population_matching_status.svg,figure,任务输出/索引,20260424_MOE_EDI外部参数匹配与风险度量准备,False,False,True,False,2026-04-24T21:32:10,996,workspace artifact
outputs/20260424_MOE_EDI外部参数匹配与风险度量准备/figures/province_moe_risk_ranking.svg,province_moe_risk_ranking.svg,figure,任务输出/索引,20260424_MOE_EDI外部参数匹配与风险度量准备,False,False,True,False,2026-04-24T21:32:10,6905,workspace artifact
outputs/20260424_MOE_EDI外部参数匹配与风险度量准备/logs/peanut_moe_edi_error_log.md,peanut_moe_edi_error_log.md,markdown,任务输出/索引,20260424_MOE_EDI外部参数匹配与风险度量准备,False,True,True,False,2026-04-24T21:32:10,1094,workspace artifact
outputs/20260424_MOE_EDI外部参数匹配与风险度量准备/reports/peanut_moe_edi_external_parameter_matching_report.md,peanut_moe_edi_external_parameter_matching_report.md,markdown,任务输出/索引,20260424_MOE_EDI外部参数匹配与风险度量准备,False,True,True,False,2026-04-24T21:32:10,6919,MOE/EDI 外部参数匹配报告
outputs/20260424_MOE_EDI外部参数匹配与风险度量准备/reports/peanut_pre_dqn_readiness_after_moe_edi.md,peanut_pre_dqn_readiness_after_moe_edi.md,markdown,任务输出/索引,20260424_MOE_EDI外部参数匹配与风险度量准备,False,True,True,False,2026-04-24T21:32:10,1981,workspace artifact
outputs/20260424_MOE_EDI外部参数匹配与风险度量准备/tables/peanut_bmdl_parameter_table.csv,peanut_bmdl_parameter_table.csv,table,任务输出/索引,20260424_MOE_EDI外部参数匹配与风险度量准备,False,True,True,True,2026-04-24T21:32:08,657,workspace artifact
outputs/20260424_MOE_EDI外部参数匹配与风险度量准备/tables/peanut_consumption_parameter_table.csv,peanut_consumption_parameter_table.csv,table,任务输出/索引,20260424_MOE_EDI外部参数匹配与风险度量准备,False,True,True,True,2026-04-24T21:32:08,51023,workspace artifact
outputs/20260424_MOE_EDI外部参数匹配与风险度量准备/tables/peanut_edi_moe_risk_summary.csv,peanut_edi_moe_risk_summary.csv,table,任务输出/索引,20260424_MOE_EDI外部参数匹配与风险度量准备,False,True,True,True,2026-04-24T21:32:08,40648,workspace artifact
outputs/20260424_MOE_EDI外部参数匹配与风险度量准备/tables/peanut_population_parameter_table.csv,peanut_population_parameter_table.csv,table,任务输出/索引,20260424_MOE_EDI外部参数匹配与风险度量准备,False,True,True,True,2026-04-24T21:32:08,45484,workspace artifact
outputs/20260424_全工作目录整理与规范化/README.md,README.md,markdown,任务输出/索引,20260424_全工作目录整理与规范化,False,False,True,False,2026-04-24T22:44:05,1078,workspace artifact
outputs/20260424_全工作目录整理与规范化/logs/organization_actions.csv,organization_actions.csv,table,任务输出/索引,20260424_全工作目录整理与规范化,False,False,True,False,2026-04-24T22:44:05,14002,workspace artifact
outputs/20260424_全工作目录整理与规范化/logs/source_check_log.json,source_check_log.json,config_or_json,任务输出/索引,20260424_全工作目录整理与规范化,False,False,True,False,2026-04-24T22:44:05,2206,workspace artifact
outputs/20260424_全工作目录整理与规范化/manifests/latest_outputs.yaml,latest_outputs.yaml,config,任务输出/索引,20260424_全工作目录整理与规范化,False,False,True,False,2026-04-24T22:44:05,1136,workspace artifact
outputs/20260424_全工作目录整理与规范化/manifests/output_manifest.csv,output_manifest.csv,table,任务输出/索引,20260424_全工作目录整理与规范化,False,False,True,False,2026-04-24T22:44:05,31205,workspace artifact
outputs/20260424_全工作目录整理与规范化/manifests/workspace_structure.md,workspace_structure.md,markdown,任务输出/索引,20260424_全工作目录整理与规范化,False,False,True,False,2026-04-24T22:44:05,2974,workspace artifact
outputs/20260424_全工作目录整理与规范化/reports/project_whole_workspace_organization_report.md,project_whole_workspace_organization_report.md,markdown,任务输出/索引,20260424_全工作目录整理与规范化,False,False,True,False,2026-04-24T22:44:05,8990,workspace artifact
outputs/20260424_全工作目录整理与规范化/reports/skills_inventory.md,skills_inventory.md,markdown,任务输出/索引,20260424_全工作目录整理与规范化,False,False,True,False,2026-04-24T22:44:05,2386,workspace artifact
outputs/20260424_全工作目录整理与规范化/reports/source_code_inventory.md,source_code_inventory.md,markdown,任务输出/索引,20260424_全工作目录整理与规范化,False,False,True,False,2026-04-24T22:44:05,2840,workspace artifact
outputs/20260424_全工作目录整理与规范化/reports/workspace_inventory.md,workspace_inventory.md,markdown,任务输出/索引,20260424_全工作目录整理与规范化,False,False,True,False,2026-04-24T22:44:05,23666,workspace artifact
outputs/20260424_全工作目录整理与规范化/tables/archive_manifest.csv,archive_manifest.csv,table,任务输出/索引,20260424_全工作目录整理与规范化,False,False,True,False,2026-04-24T22:44:05,8959,workspace artifact
outputs/20260424_全工作目录整理与规范化/tables/raw_data_inventory.csv,raw_data_inventory.csv,table,任务输出/索引,20260424_全工作目录整理与规范化,False,False,True,False,2026-04-24T22:44:05,1383,workspace artifact
outputs/20260424_全工作目录整理与规范化/tables/reference_inventory.csv,reference_inventory.csv,table,任务输出/索引,20260424_全工作目录整理与规范化,False,False,True,False,2026-04-24T22:44:05,3207,workspace artifact
outputs/20260424_全工作目录整理与规范化/tables/skills_inventory.csv,skills_inventory.csv,table,任务输出/索引,20260424_全工作目录整理与规范化,False,False,True,False,2026-04-24T22:44:05,7599,workspace artifact
outputs/20260424_全工作目录整理与规范化/tables/workspace_inventory.csv,workspace_inventory.csv,table,任务输出/索引,20260424_全工作目录整理与规范化,False,False,True,False,2026-04-24T22:44:05,59209,workspace artifact
outputs/README.md,README.md,markdown,任务输出/索引,,False,False,False,False,2026-04-24T22:44:05,137,workspace artifact
outputs/_index/README.md,README.md,markdown,任务输出/索引,_index,False,False,False,False,2026-04-24T22:34:57,106,workspace artifact
outputs/_index/latest_outputs.yaml,latest_outputs.yaml,config,任务输出/索引,_index,False,False,False,False,2026-04-24T22:44:05,1136,workspace artifact
outputs/_index/output_index.md,output_index.md,markdown,任务输出/索引,_index,False,False,False,False,2026-04-24T22:44:05,1415,workspace artifact
outputs/_index/output_manifest.csv,output_manifest.csv,table,任务输出/索引,_index,False,False,False,False,2026-04-24T22:44:05,31205,workspace artifact
outputs/_index/workspace_structure.md,workspace_structure.md,markdown,任务输出/索引,_index,False,False,False,False,2026-04-24T22:44:05,2974,workspace artifact
outputs/archive/README.md,README.md,markdown,任务输出/索引,archive,False,False,True,False,2026-04-24T22:44:05,131,workspace artifact
project_state/artifact_index.md,artifact_index.md,markdown,项目状态,,False,False,False,True,2026-04-24T22:44:05,1677,workspace artifact
project_state/changelog.md,changelog.md,markdown,项目状态,,False,False,False,True,2026-04-24T22:44:05,11704,workspace artifact
project_state/conversation_handoff.md,conversation_handoff.md,markdown,项目状态,,False,False,False,True,2026-04-24T22:44:05,675,workspace artifact
project_state/current_focus.md,current_focus.md,markdown,项目状态,,False,False,False,True,2026-04-24T22:44:05,583,workspace artifact
project_state/decision_log.md,decision_log.md,markdown,项目状态,,False,False,False,True,2026-04-24T22:44:05,16391,workspace artifact
project_state/lessons_learned.md,lessons_learned.md,markdown,项目状态,,False,False,False,True,2026-04-24T22:44:05,9198,workspace artifact
project_state/next_step.md,next_step.md,markdown,项目状态,,False,False,False,True,2026-04-24T22:44:05,266,workspace artifact
project_state/project_memory.md,project_memory.md,markdown,项目状态,,False,False,False,True,2026-04-24T22:44:05,8518,workspace artifact
project_state/roadmap.yaml,roadmap.yaml,config,项目状态,,False,False,False,True,2026-04-24T19:08:40,2414,workspace artifact
project_state/run_protocol.md,run_protocol.md,markdown,项目状态,,False,False,False,True,2026-04-24T22:44:05,517,workspace artifact
project_state/workspace_structure.md,workspace_structure.md,markdown,项目状态,,False,False,False,True,2026-04-24T22:44:05,2974,workspace artifact
pyproject.toml,pyproject.toml,other,根目录/未归类,,False,True,False,True,2026-04-24T18:03:39,525,workspace artifact
reports/figures/latest/README.md,README.md,markdown,报告/表格/图表,,False,True,True,False,2026-04-24T22:44:05,122,workspace artifact
reports/figures/latest/peanut_afb1_concentration_distribution.svg,peanut_afb1_concentration_distribution.svg,figure,报告/表格/图表,,False,True,False,False,2026-04-24T19:08:40,10946,workspace artifact
reports/figures/latest/peanut_afb1_record_distribution.svg,peanut_afb1_record_distribution.svg,figure,报告/表格/图表,,False,True,False,False,2026-04-24T19:08:40,1993,workspace artifact
reports/figures/latest/peanut_category_risk_ranking.svg,peanut_category_risk_ranking.svg,figure,报告/表格/图表,,False,True,False,False,2026-04-24T19:08:40,6617,workspace artifact
reports/figures/latest/peanut_data_quality_issues.svg,peanut_data_quality_issues.svg,figure,报告/表格/图表,,False,True,False,False,2026-04-24T19:08:40,2922,workspace artifact
reports/figures/latest/peanut_region_risk_ranking.svg,peanut_region_risk_ranking.svg,figure,报告/表格/图表,,False,True,False,False,2026-04-24T19:08:40,6933,workspace artifact
reports/figures/latest/peanut_stage_risk_comparison.svg,peanut_stage_risk_comparison.svg,figure,报告/表格/图表,,False,True,False,False,2026-04-24T19:08:40,2020,workspace artifact
reports/figures/latest/peanut_year_noncompliance_rate.svg,peanut_year_noncompliance_rate.svg,figure,报告/表格/图表,,False,True,False,False,2026-04-24T19:08:40,1089,workspace artifact
reports/figures/latest/peanut_year_sample_count.svg,peanut_year_sample_count.svg,figure,报告/表格/图表,,False,True,False,False,2026-04-24T19:08:40,1247,workspace artifact
reports/latest/README.md,README.md,markdown,报告/表格/图表,,False,True,True,False,2026-04-24T22:44:05,140,workspace artifact
reports/latest/peanut_beta_binomial_belief_update_report.md,peanut_beta_binomial_belief_update_report.md,markdown,报告/表格/图表,,False,True,False,False,2026-04-24T20:48:45,6106,workspace artifact
reports/latest/peanut_cleaning_report.md,peanut_cleaning_report.md,markdown,报告/表格/图表,,False,True,False,False,2026-04-24T20:48:45,987,workspace artifact
reports/latest/peanut_concentration_cleaning_report.md,peanut_concentration_cleaning_report.md,markdown,报告/表格/图表,,False,True,False,False,2026-04-24T20:48:45,5150,workspace artifact
reports/latest/peanut_full_workflow_summary.md,peanut_full_workflow_summary.md,markdown,报告/表格/图表,,False,True,False,False,2026-04-24T19:08:40,18437,workspace artifact
reports/latest/peanut_moe_edi_error_log.md,peanut_moe_edi_error_log.md,markdown,报告/表格/图表,,False,True,False,False,2026-04-24T21:32:10,1094,workspace artifact
reports/latest/peanut_moe_edi_external_parameter_matching_report.md,peanut_moe_edi_external_parameter_matching_report.md,markdown,报告/表格/图表,,False,True,False,False,2026-04-24T21:32:10,6919,MOE/EDI 外部参数匹配报告
reports/latest/peanut_pre_dqn_readiness_after_moe_edi.md,peanut_pre_dqn_readiness_after_moe_edi.md,markdown,报告/表格/图表,,False,True,False,False,2026-04-24T21:32:10,1981,workspace artifact
reports/latest/peanut_upstream_repair_log.md,peanut_upstream_repair_log.md,markdown,报告/表格/图表,,False,True,False,False,2026-04-24T20:49:34,759,workspace artifact
reports/latest/peanut_upstream_verification_report.md,peanut_upstream_verification_report.md,markdown,报告/表格/图表,,False,True,False,False,2026-04-24T20:49:34,2605,workspace artifact
reports/latest/peanut_workflow_run_summary.json,peanut_workflow_run_summary.json,config_or_json,报告/表格/图表,,False,True,False,False,2026-04-24T19:08:40,1986,workspace artifact
reports/latest/project_whole_workspace_organization_report.md,project_whole_workspace_organization_report.md,markdown,报告/表格/图表,,False,True,True,False,2026-04-24T22:44:05,8990,workspace artifact
reports/peanut_beta_binomial_belief_update_report.md,peanut_beta_binomial_belief_update_report.md,markdown,报告/表格/图表,,False,True,False,False,2026-04-24T20:48:45,6106,workspace artifact
reports/peanut_cleaning_report.md,peanut_cleaning_report.md,markdown,报告/表格/图表,,False,True,False,False,2026-04-24T20:48:45,987,workspace artifact
reports/peanut_concentration_cleaning_report.md,peanut_concentration_cleaning_report.md,markdown,报告/表格/图表,,False,True,False,False,2026-04-24T20:48:45,5150,workspace artifact
reports/peanut_full_workflow_summary.md,peanut_full_workflow_summary.md,markdown,报告/表格/图表,,False,True,False,False,2026-04-24T19:08:40,18437,workspace artifact
reports/peanut_moe_edi_error_log.md,peanut_moe_edi_error_log.md,markdown,报告/表格/图表,,False,True,False,False,2026-04-24T21:32:10,1094,workspace artifact
reports/peanut_moe_edi_external_parameter_matching_report.md,peanut_moe_edi_external_parameter_matching_report.md,markdown,报告/表格/图表,,False,True,False,False,2026-04-24T21:32:10,6919,MOE/EDI 外部参数匹配报告
reports/peanut_pre_dqn_readiness_after_moe_edi.md,peanut_pre_dqn_readiness_after_moe_edi.md,markdown,报告/表格/图表,,False,True,False,False,2026-04-24T21:32:10,1981,workspace artifact
reports/peanut_upstream_repair_log.md,peanut_upstream_repair_log.md,markdown,报告/表格/图表,,False,True,False,False,2026-04-24T20:49:34,759,workspace artifact
reports/peanut_upstream_verification_report.md,peanut_upstream_verification_report.md,markdown,报告/表格/图表,,False,True,False,False,2026-04-24T20:49:34,2605,workspace artifact
reports/peanut_workflow_run_summary.json,peanut_workflow_run_summary.json,config_or_json,报告/表格/图表,,False,True,False,False,2026-04-24T19:08:40,1986,workspace artifact
reports/tables/latest/peanut_belief_state_latest.csv,peanut_belief_state_latest.csv,table,报告/表格/图表,,False,True,False,False,2026-04-24T20:48:45,148161,workspace artifact
reports/tables/latest/peanut_belief_state_summary_by_stage.csv,peanut_belief_state_summary_by_stage.csv,table,报告/表格/图表,,False,True,False,False,2026-04-24T20:48:45,794,workspace artifact
reports/tables/latest/peanut_cleaning_issue_log.csv,peanut_cleaning_issue_log.csv,table,报告/表格/图表,,False,True,False,False,2026-04-24T20:48:43,401,workspace artifact
reports/tables/latest/peanut_concentration_audit_findings.csv,peanut_concentration_audit_findings.csv,table,报告/表格/图表,,False,True,False,False,2026-04-24T20:49:34,475,workspace artifact
reports/tables/latest/peanut_data_quality_summary.csv,peanut_data_quality_summary.csv,table,报告/表格/图表,,False,True,False,False,2026-04-24T20:48:43,401,workspace artifact
reports/tables/latest/peanut_label_dictionary.csv,peanut_label_dictionary.csv,table,报告/表格/图表,,False,True,False,False,2026-04-24T19:08:39,475,workspace artifact
reports/tables/latest/peanut_risk_summary_by_category.csv,peanut_risk_summary_by_category.csv,table,报告/表格/图表,,False,True,False,False,2026-04-24T19:08:40,1244,workspace artifact
reports/tables/latest/peanut_risk_summary_by_region.csv,peanut_risk_summary_by_region.csv,table,报告/表格/图表,,False,True,False,False,2026-04-24T19:08:40,2134,workspace artifact
reports/tables/latest/peanut_risk_summary_by_stage.csv,peanut_risk_summary_by_stage.csv,table,报告/表格/图表,,False,True,False,False,2026-04-24T19:08:40,454,workspace artifact
reports/tables/latest/peanut_risk_summary_by_year.csv,peanut_risk_summary_by_year.csv,table,报告/表格/图表,,False,True,False,False,2026-04-24T19:08:40,323,workspace artifact
reports/tables/latest/peanut_variable_dictionary.csv,peanut_variable_dictionary.csv,table,报告/表格/图表,,False,True,False,False,2026-04-24T19:08:39,3032,workspace artifact
reports/tables/latest/schema_inventory_PEANUT2023-20241.csv,schema_inventory_PEANUT2023-20241.csv,table,报告/表格/图表,,False,True,False,False,2026-04-24T19:06:31,8076,workspace artifact
reports/tables/peanut_belief_state_latest.csv,peanut_belief_state_latest.csv,table,报告/表格/图表,,False,True,False,False,2026-04-24T20:48:45,148161,workspace artifact
reports/tables/peanut_belief_state_summary_by_stage.csv,peanut_belief_state_summary_by_stage.csv,table,报告/表格/图表,,False,True,False,False,2026-04-24T20:48:45,794,workspace artifact
reports/tables/peanut_cleaning_issue_log.csv,peanut_cleaning_issue_log.csv,table,报告/表格/图表,,False,True,False,False,2026-04-24T20:48:43,401,workspace artifact
reports/tables/peanut_concentration_audit_findings.csv,peanut_concentration_audit_findings.csv,table,报告/表格/图表,,False,True,False,False,2026-04-24T20:49:34,475,workspace artifact
reports/tables/peanut_data_quality_summary.csv,peanut_data_quality_summary.csv,table,报告/表格/图表,,False,True,False,False,2026-04-24T20:48:43,401,workspace artifact
reports/tables/peanut_label_dictionary.csv,peanut_label_dictionary.csv,table,报告/表格/图表,,False,True,False,False,2026-04-24T19:08:39,475,workspace artifact
reports/tables/peanut_risk_summary_by_category.csv,peanut_risk_summary_by_category.csv,table,报告/表格/图表,,False,True,False,False,2026-04-24T19:08:40,1244,workspace artifact
reports/tables/peanut_risk_summary_by_region.csv,peanut_risk_summary_by_region.csv,table,报告/表格/图表,,False,True,False,False,2026-04-24T19:08:40,2134,workspace artifact
reports/tables/peanut_risk_summary_by_stage.csv,peanut_risk_summary_by_stage.csv,table,报告/表格/图表,,False,True,False,False,2026-04-24T19:08:40,454,workspace artifact
reports/tables/peanut_risk_summary_by_year.csv,peanut_risk_summary_by_year.csv,table,报告/表格/图表,,False,True,False,False,2026-04-24T19:08:40,323,workspace artifact
reports/tables/peanut_variable_dictionary.csv,peanut_variable_dictionary.csv,table,报告/表格/图表,,False,True,False,False,2026-04-24T19:08:39,3032,workspace artifact
reports/tables/schema_inventory_PEANUT2023-20241.csv,schema_inventory_PEANUT2023-20241.csv,table,报告/表格/图表,,False,True,False,False,2026-04-24T19:06:31,8076,workspace artifact
requirements.txt,requirements.txt,text,根目录/未归类,,False,True,False,True,2026-04-24T18:03:39,72,workspace artifact
src/workflow1/__init__.py,__init__.py,python_code,源代码,,False,False,False,True,2026-04-14T17:42:30,284,workspace artifact
src/workflow1/__main__.py,__main__.py,python_code,源代码,,False,False,False,True,2026-04-24T18:03:39,161,workspace artifact
src/workflow1/cli.py,cli.py,python_code,源代码,,False,False,False,True,2026-04-24T18:46:13,5584,workspace artifact
src/workflow1/launch.py,launch.py,python_code,源代码,,False,False,False,True,2026-04-24T18:46:13,4428,workspace artifact
src/workflow1/orchestration.py,orchestration.py,python_code,源代码,,False,False,False,True,2026-04-14T17:42:30,1928,workspace artifact
src/workflow1/pipelines/__init__.py,__init__.py,python_code,源代码,,False,False,False,True,2026-04-13T19:56:38,182,workspace artifact
src/workflow1/pipelines/cleaning/__init__.py,__init__.py,python_code,源代码,,False,False,False,True,2026-04-24T18:22:35,370,workspace artifact
src/workflow1/pipelines/cleaning/category_reconstruction.py,category_reconstruction.py,python_code,源代码,,False,False,False,True,2026-04-14T18:07:42,21340,workspace artifact
src/workflow1/pipelines/cleaning/plan.py,plan.py,python_code,源代码,,False,False,False,True,2026-04-24T18:22:35,7840,workspace artifact
src/workflow1/pipelines/eda/__init__.py,__init__.py,python_code,源代码,,False,False,False,True,2026-04-13T19:56:38,248,workspace artifact
src/workflow1/pipelines/evaluation/__init__.py,__init__.py,python_code,源代码,,False,False,False,True,2026-04-13T19:56:38,253,workspace artifact
src/workflow1/pipelines/features/__init__.py,__init__.py,python_code,源代码,,False,False,False,True,2026-04-13T19:56:38,263,workspace artifact
src/workflow1/pipelines/intake/__init__.py,__init__.py,python_code,源代码,,False,False,False,True,2026-04-24T18:20:52,175,workspace artifact
src/workflow1/pipelines/intake/runner.py,runner.py,python_code,源代码,,False,False,False,True,2026-04-24T18:20:52,7432,workspace artifact
src/workflow1/pipelines/matching/__init__.py,__init__.py,python_code,源代码,,False,False,False,True,2026-04-13T19:56:38,246,workspace artifact
src/workflow1/pipelines/modeling/__init__.py,__init__.py,python_code,源代码,,False,False,False,True,2026-04-13T19:56:38,241,workspace artifact
src/workflow1/pipelines/postprocess/__init__.py,__init__.py,python_code,源代码,,False,False,False,True,2026-04-13T19:56:38,256,workspace artifact
src/workflow1/pipelines/runner.py,runner.py,python_code,源代码,,False,False,False,True,2026-04-13T19:56:38,753,workspace artifact
src/workflow1/pipelines/validation/__init__.py,__init__.py,python_code,源代码,,False,False,False,True,2026-04-24T18:21:49,179,workspace artifact
src/workflow1/pipelines/validation/runner.py,runner.py,python_code,源代码,,False,False,False,True,2026-04-24T18:21:49,10581,workspace artifact
src/workflow1/pipelines/visualization/__init__.py,__init__.py,python_code,源代码,,False,False,False,True,2026-04-13T19:56:38,256,workspace artifact
src/workflow1/references/__init__.py,__init__.py,python_code,源代码,,False,False,False,True,2026-04-24T18:03:39,353,workspace artifact
src/workflow1/references/reader.py,reader.py,python_code,源代码,,False,False,False,True,2026-04-24T18:03:39,4880,workspace artifact
src/workflow1/references/summarizer.py,summarizer.py,python_code,源代码,,False,False,False,True,2026-04-24T18:03:39,2037,workspace artifact
src/workflow1/schemas/__init__.py,__init__.py,python_code,源代码,,False,False,False,True,2026-04-13T19:56:38,150,workspace artifact
